region	tags	indicator	"Дистанционные образовательные технологии > в том числе (из графы 17) 
с применением исключительно дистанционных 
образовательных технологий > 18.0"	"Дистанционные образовательные технологии > численность обучающихся 
(из графы 5) 
по программам 
с применением дистанционных образовательных технологий > 17.0"	"Дистанционные образовательные технологии > число программ (из графы 3), реализуемых 
с применением дистанционных образовательных технологий > 16.0"	Сетевая форма реализации образовательных программ > в том числе (из графы 11) число иностранных организаций > 12.0	Сетевая форма реализации образовательных программ > в том числе (из графы 7) с использова-нием ресурсов иностранных организаций > 8.0	"Сетевая форма реализации образовательных программ > из них число заключенных договоров 
(из графы 9) с использованием ресурсов иностранных организаций > 10.0"	Сетевая форма реализации образовательных программ > общее число заключенных договоров с организациями на реализацию образовательных программ с использованием сетевой формы, единиц > 9.0	Сетевая форма реализации образовательных программ > численность обучающихся (из графы 5) по программам, реализуемым с использованием сетевой формы - всего > 7.0	"Сетевая форма реализации образовательных программ > число организаций, 
с которыми заключены договоры на реализацию образовательных программ с использованием сетевой формы, единиц  > 11.0"	Сетевая форма реализации образовательных программ > число программ (из графы 3), реализуе-мых с использова-нием сетевой формы  > 6.0	Численность обучающихся - всего, человек > 5.0	Число реализуемых образователь-ных программ -всего, единиц > 3.0	"Электронное обучение > в том числе (из графы 14) 
с применением  исключительно электронного обучения > 15.0"	"Электронное обучение > численность обучающихся 
(из графы 5) по программам 
с применением электронного обучения > 14.0"	Электронное обучение > число программ (из графы 3), реализуемых с применением электронного обучения > 13.0	из них прошли профессионально - общественную аккредитацию работодателями и их объединениями > 4.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	3148	48	0	0	0	7	492	7	11	13358	236	0	2417	29	60
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	17032	201	0	0	0	93	2258	56	68	42170	1168	0	14422	211	84
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	19	1874	9	0	0	0	1	7	1	1	3321	23	19	158	3	0
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1851	29	0	0	0	1	75	1	1	4059	65	0	1264	18	1
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	8781	130	0	0	0	15	2076	13	25	19074	235	0	7879	126	29
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	25	1	0	0	0	1
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	36	2	0	0	0	2
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	2579	49	0	0	0	37	1630	37	32	7609	160	0	1510	22	32
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	8272	91	0	0	0	24	975	17	18	18419	271	0	5174	60	61
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Архангельская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	292	13	0	0	0	1	123	1	4	932	21	0	123	4	0
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	961	16	0	0	0	5	321	5	5	3095	63	0	810	12	5
Астраханская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	8463	71	0	0	0	27	1259	27	16	25173	225	0	7065	64	15
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Астраханская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	366	2	0	0	0	0	0	0	0	1670	13	0	0	0	0
Белгородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1831	41	0	0	0	298	3313	110	84	4436	99	108	1497	34	12
Белгородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	19209	202	0	0	0	830	14246	321	222	34660	383	420	13269	132	70
Белгородская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Белгородская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	1913	50	0	0	0	46	1913	20	50	2071	54	0	1913	50	0
Брянская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1625	27	0	0	0	8	271	7	6	4848	86	0	842	18	15
Брянская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	11	6573	78	0	0	0	30	1743	23	32	22261	247	0	3014	48	67
Брянская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	22	3	0	0	0	0
Брянская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	1028	12	0	699	7	0
