region	tags	indicator	В том числе из числа студентов, обучающихся (обучавшихся): > за счет бюджетных ассигнований > бюджета субъекта Российской Федерации > 7.0	В том числе из числа студентов, обучающихся (обучавшихся): > за счет бюджетных ассигнований > местного бюджета > 8.0	В том числе из числа студентов, обучающихся (обучавшихся): > за счет бюджетных ассигнований > федерального бюджета > 6.0	В том числе из числа студентов, обучающихся (обучавшихся): > по договорам об оказании платных образовательных услуг за счет средств > иных физических лиц > 10.0	В том числе из числа студентов, обучающихся (обучавшихся): > по договорам об оказании платных образовательных услуг за счет средств > лиц, зачисляемых на обучение (родителей (законных представителей)) несовершеннолетних обучающихся > 9.0	В том числе из числа студентов, обучающихся (обучавшихся): > по договорам об оказании платных образовательных услуг за счет средств > юридических лиц > 11.0	Всего обучено за период с 01.10. прошлого года по 30.09. текущего года (сумма гр. 6–11) > 5.0	Из общей численности обученных (из гр. 5) > дети-инвалиды (кроме учтенных в графе 16) > 18.0	Из общей численности обученных (из гр. 5) > женщины > 12.0	Из общей численности обученных (из гр. 5) > из них (из гр. 14): > дети-инвалиды > 16.0	Из общей численности обученных (из гр. 5) > из них (из гр. 14): > инвалиды > 15.0	Из общей численности обученных (из гр. 5) > инвалиды (кроме учтенных в гр. 15) > 17.0	Из общей численности обученных (из гр. 5) > лица с ограничен-ными возмож-ностями здоровья > 14.0	Из общей численности обученных (из гр. 5) > прошли ускоренное обучение по индивидуаль-ным учебным планам > 13.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Агент торговый / 1.0 / 17.0 / 20035.0	10.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Аппаратчик производства кисломолочных и детских молочных продуктов / 1.0 / 86.0 / 10786.0	12.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Асфальтобетонщик / 1.0 / 2.0 / 11140.0	0.0	0.0	0.0	9.0	0.0	0.0	9.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Горничная / 1.0 / 21.0 / 11695.0	26.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Дорожный рабочий / 1.0 / 5.0 / 11889.0	0.0	0.0	0.0	9.0	0.0	0.0	9.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Каменщик / 1.0 / 11.0 / 12680.0	12.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Кассир / 1.0 / 52.0 / 23369.0	50.0	0.0	0.0	12.0	3.0	0.0	65.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Кассир торгового зала / 1.0 / 38.1 / nan	9.0	0.0	0.0	0.0	3.0	0.0	12.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Кондитер / 1.0 / 46.0 / 12901.0	14.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Машинист мельниц / 1.0 / 90.0 / 13873.0	13.0	0.0	0.0	0.0	2.0	0.0	15.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
