region	tags	indicator	В том числе на уровне подготовки: > базовом > 6.0	В том числе на уровне подготовки: > углубленном > 7.0	Из общего приема (из гр. 4) – женщины > 8.0	Принято  > Всего > 4.0	Принято  > из них лица с ОВЗ, инвалиды, дети-инвалиды > 5.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Дошкольное образование / 1.0 / 44.02.01	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Инструментальное исполнительство (по видам инструментов) / 1.0 / 53.02.03	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Лечебное дело / 1.0 / 31.02.01	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Лечебное дело / 2.0 / 31.02.01	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции / 1.0 / 08.02.13	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Поварское и кондитерское дело / 1.0 / 43.02.15	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Преподавание в начальных классах / 1.0 / 44.02.02	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Сестринское дело / 1.0 / 34.02.01	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Физическая культура / 1.0 / 49.02.01	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Экономика и бухгалтерский учет (по отраслям) / 1.0 / 38.02.01	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Экономика и бухгалтерский учет (по отраслям) / 2.0 / 38.02.01	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Эксплуатация и ремонт сельскохозяйственной техники и оборудования / 1.0 / 35.02.16	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Эксплуатация и ремонт сельскохозяйственной техники и оборудования / 2.0 / 35.02.16	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Заочная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Заочная	Программы подготовки специалистов среднего звена: на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Заочная	Программы подготовки специалистов среднего звена: на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Частные; Очная	Всего по программам подготовки специалистов среднего звена (сумма стр. 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0
