region	tags	indicator	"В том числе (из гр. 4)
по уровням подготовки  > базовый > 6.0"	"В том числе (из гр. 4)
по уровням подготовки  > углубленный > 7.0"	Выпуск ожидаемый с 01.10. прошлого года по 30.09. текущего года > всего > 9.0	Выпуск ожидаемый с 01.10. прошлого года по 30.09. текущего года > из них лица с ОВЗ, инвалиды, дети-инвалиды > 10.0	Выпуск фактический с 01.10. прошлого года по 30.09. текущего года > всего > 4.0	Выпуск фактический с 01.10. прошлого года по 30.09. текущего года > из них лица с ОВЗ, инвалиды, дети-инвалиды > 5.0	Из общего выпуска (из гр. 4) -женщины > 8.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Дошкольное образование / 1.0 / 44.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Дошкольное образование / 2.0 / 44.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Преподавание в начальных классах / 1.0 / 44.02.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Преподавание в начальных классах / 2.0 / 44.02.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Специальное дошкольное образование / 1.0 / 44.02.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Специальное дошкольное образование / 2.0 / 44.02.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Физическая культура / 1.0 / 49.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Физическая культура / 2.0 / 49.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Дошкольное образование / 1.0 / 44.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Изобразительное искусство и черчение / 1.0 / 54.02.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Лечебное дело / 2.0 / 31.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Народное художественное творчество (по видам) / 1.0 / 51.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Поварское и кондитерское дело / 1.0 / 43.02.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Преподавание в начальных классах / 1.0 / 44.02.02	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Преподавание в начальных классах / 2.0 / 44.02.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Сестринское дело / 1.0 / 34.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Физическая культура / 1.0 / 49.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Физическая культура / 2.0 / 49.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Экономика и бухгалтерский учет (по отраслям) / 1.0 / 38.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Экономика и бухгалтерский учет (по отраслям) / 2.0 / 38.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Эксплуатация и ремонт сельскохозяйственной техники и оборудования / 1.0 / 35.02.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Эксплуатация и ремонт сельскохозяйственной техники и оборудования / 2.0 / 35.02.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции / 1.0 / 08.02.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Автоматика и телемеханика на транспорте (железнодорожном транспорте) / 1.0 / 27.02.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Автоматика и телемеханика на транспорте (железнодорожном транспорте) / 2.0 / 27.02.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Организация перевозок и управление на транспорте (по видам) / 1.0 / 23.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Организация перевозок и управление на транспорте (по видам) / 2.0 / 23.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Строительство железных дорог, путь и путевое хозяйство / 1.0 / 08.02.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Строительство железных дорог, путь и путевое хозяйство / 2.0 / 08.02.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Техническая эксплуатация подвижного состава железных дорог / 1.0 / 23.02.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Техническая эксплуатация подвижного состава железных дорог / 2.0 / 23.02.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Электроснабжение (по отраслям) / 1.0 / 13.02.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Электроснабжение (по отраслям) / 2.0 / 13.02.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Сестринское дело / 1.0 / 34.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Поварское и кондитерское дело / 2.0 / 43.02.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей / 1.0 / 23.02.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Технология продукции общественного питания / 2.0 / 19.02.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Экономика и бухгалтерский учет (по отраслям) / 2.0 / 38.02.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Заочная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Заочная	Право и организация социального обеспечения / 1.0 / 40.02.01	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Заочная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Заочная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очно-заочная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очно-заочная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	Частные; Очно-заочная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Аттестация экстернов	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Всего по программам подготовки специалистов среднего звена (сумма строк 01, 02) / 3.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Программы на базе основного общего образования - всего / 1.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Программы на базе среднего общего образования - всего / 2.0 / 0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
