region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Выпуск > 8.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Численность студентов > 7.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Выпуск > 10.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Численность студентов > 9.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Выпуск > 4.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Численность студентов > 3.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Выпуск > 6.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Численность студентов > 5.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	0	0	5	41
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	       местного бюджета / 5.0	0	0	0	0	0	0	3	2
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    по договорам об оказании платных образовательных услуг / 6.0	0	0	0	0	0	0	13	52
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	0	13	18
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с организациями / 10.0	0	0	0	0	0	0	33	97
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	2
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	1	14
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	0	0	0	0	34	113
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	       бюджета субъекта Российской Федерации / 4.0	162	387	19	7	122	672	67	212
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	       местного бюджета / 5.0	0	0	0	0	1	7	0	2
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    по договорам об оказании платных образовательных услуг / 6.0	10	46	0	3	27	131	31	144
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	17	31	0	0	27	74	6	8
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с организациями / 10.0	189	464	19	10	172	859	102	348
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	1	4	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с органом местного самоуправления / 9.0	0	0	0	0	4	21	2	18
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	189	464	19	10	177	884	104	366
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	0	0	1	24
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    по договорам об оказании платных образовательных услуг / 6.0	0	0	0	0	0	0	25	54
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   с организациями / 10.0	0	0	0	0	0	0	26	78
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Алтайский край	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	0	0	0	0	26	78
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    по договорам об оказании платных образовательных услуг / 6.0	0	0	0	0	0	5	0	5
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	0	9	29
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с организациями / 10.0	0	0	0	0	0	5	9	34
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	0	0	0	5	9	34
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	       бюджета субъекта Российской Федерации / 4.0	17	28	5	5	22	55	18	7
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	    по договорам об оказании платных образовательных услуг / 6.0	3	3	0	0	18	50	5	10
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	1	106	0	0	34	151	0	1
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с организациями / 10.0	21	137	5	5	74	256	23	18
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	21	137	5	5	74	256	23	18
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	0	0	0	0
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    по договорам об оказании платных образовательных услуг / 6.0	0	0	0	0	0	0	3	26
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	0	0	0
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   с организациями / 10.0	0	0	0	0	0	0	3	26
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	0
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	0	0
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Амурская область	Очно-заочная; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	0	0	0	0	3	26
Амурская область	Частные; Очная	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	    по договорам об оказании платных образовательных услуг / 6.0	0	0	8	11	0	0	17	36
Амурская область	Частные; Очная	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	   с организациями / 10.0	0	0	8	11	0	0	17	36
Амурская область	Частные; Очная	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Амурская область	Частные; Очная	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	8	11	0	0	17	36
Амурская область	Частные; Очно-заочная	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	    по договорам об оказании платных образовательных услуг / 6.0	0	0	30	14	0	0	0	0
Амурская область	Частные; Очно-заочная	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	   с организациями / 10.0	0	0	30	14	0	0	0	0
Амурская область	Частные; Очно-заочная	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Амурская область	Частные; Очно-заочная	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	30	14	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"          из них в рамках задания государственного плана подготовки
          кадров со средним профессиональным образованием для
          организаций оборонно-промышленного комплекса / 3.0"	0	0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	       бюджета субъекта Российской Федерации / 4.0	0	0	0	0	0	0	0	1
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	       местного бюджета / 5.0	0	0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	    по договорам об оказании платных образовательных услуг / 6.0	0	0	0	0	0	0	2	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   в том числе обучающиеся:
      за счет бюджетных ассигнований: 
      федерального бюджета / 2.0"	0	0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с организациями / 10.0	0	0	0	0	0	0	2	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с органом государственной власти субъекта Российской Федерации / 8.0	0	0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   с органом местного самоуправления / 9.0	0	0	0	0	0	0	0	1
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Из стр. 01 заключили договор: 
   с федеральным государственным органом / 7.0"	0	0	0	0	0	0	0	0
Архангельская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Студенты, заключившие договор о целевом обучении - всего
(сумма стр. 02, 04-06; 07-10) / 1.0"	0	0	0	0	0	0	2	1
