region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Выпуск > 11.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Принято > 9.0	Программы подготовки квалифицированных рабочих, служащих > на базе основного общего образования > Численность студентов > 10.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Выпуск > 14.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Принято > 12.0	Программы подготовки квалифицированных рабочих, служащих > на базе среднего общего образования > Численность студентов > 13.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Выпуск > 5.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Принято > 3.0	Программы подготовки специалистов среднего звена > на базе основного общего образования > Численность студентов > 4.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Выпуск > 8.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Принято > 6.0	Программы подготовки специалистов среднего звена > на базе среднего общего образования > Численность студентов > 7.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	      иных физических лиц / 3.0	0	0	0	0	0	0	0	0	0	155	110	447
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	      юридических лиц / 4.0	0	0	0	0	0	0	0	0	0	1	1	46
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	0	0	0	0	0	0	7	22	98	252	178	767
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"   получают второе или последующее среднее профессиональное
   образование / 6.0"	0	0	0	0	0	0	0	0	0	71	45	166
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	   получают среднее профессиональное образование впервые / 5.0	0	0	0	0	0	0	7	22	98	337	244	1094
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Из стр. 01 - студенты, использующие образовательный кредит
для оплаты обучения / 7.0"	0	0	0	0	0	0	0	0	0	0	1	1
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Заочная	"Студенты, обучающиеся по договорам об оказании платных
образовательных услуг - всего (сумма стр. 02-04; 05, 06) / 1.0"	0	0	0	0	0	0	7	22	98	408	289	1260
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      иных физических лиц / 3.0	0	3	5	22	19	19	82	199	509	112	166	340
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      юридических лиц / 4.0	0	2	5	0	0	0	4	3	31	8	55	68
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   в том числе: 
   за счет средств: 
      лиц, зачисляемых на обучение (родителей (законных
      представителей) несовершеннолетних обучающихся) / 2.0"	443	549	1300	38	65	90	1565	3371	9810	1002	1341	3497
