region	tags	indicator	Программы подготовки квалифицированных рабочих, служащих > Всего (сумма гр. 7, 8) > 6.0	Программы подготовки квалифицированных рабочих, служащих > в том числе программы > на базе основного общего образования > 7.0	Программы подготовки квалифицированных рабочих, служащих > в том числе программы > на базе среднего общего образования > 8.0	Программы подготовки специалистов среднего звена > Всего (сумма гр. 4, 5) > 3.0	Программы подготовки специалистов среднего звена > в том числе программы > на базе основного общего образования > 4.0	Программы подготовки специалистов среднего звена > в том числе программы > на базе среднего общего образования > 5.0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	14	14	0	117	62	55
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	8	8	0	8	5	3
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	639	639	0	464	398	66
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	2557	2531	26	3656	3030	626
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	218	212	6	644	502	142
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	33	33	0	89	77	12
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	4	3	1
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	3	3	0	5	4	1
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	8	8	0	10	7	3
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   полученных от приносящей доход деятельности / 17.0	202	202	0	108	87	21
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   стипендии Правительства Российской Федерации / 3.0	50	50	0	53	44	9
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	74	37	37
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	14	14	0	135	75	60
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	1083	1077	6	1301	1029	272
Алтайский край	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	7065	6742	323	15012	11812	3200
Алтайский край	Частные; Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	0	0	0
Алтайский край	Частные; Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Алтайский край	Частные; Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	0	0	0
Алтайский край	Частные; Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	0	0	0	0	0	0
Алтайский край	Частные; Очная	   государственные социальные стипендии / 2.0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	0	0	0	0	0	0
Алтайский край	Частные; Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	0	0	0	0	0	0
Алтайский край	Частные; Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	0	0	0
Алтайский край	Частные; Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	0	0	0	0	0	0
Алтайский край	Частные; Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Алтайский край	Частные; Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	0	0	0
Алтайский край	Частные; Очная	   полученных от приносящей доход деятельности / 17.0	0	0	0	80	61	19
Алтайский край	Частные; Очная	   стипендии Правительства Российской Федерации / 3.0	0	0	0	0	0	0
Алтайский край	Частные; Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Алтайский край	Частные; Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	0	0	0
Алтайский край	Частные; Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	0	0	0	80	61	19
Алтайский край	Частные; Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 11.0	0	0	0	20	19	1
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      в том числе студентам, направленным ими на обучение / 13.0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	      из них организацией, студентами которой они являются / 8.0	0	0	0	1	1	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   бюджетных ассигнований бюджета субъекта Российской Федерации / 16.0	203	190	13	209	198	11
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   государственные социальные стипендии / 2.0	542	525	17	868	708	160
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   из них за счет средств: 
   стипендиального фонда / 15.0"	19	19	0	364	100	264
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   именные стипендии, учрежденные: 
   органами государственной власти субъекта Российской Федерации / 5.0"	17	13	4	149	114	35
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: органами местного самоуправления / 6.0	0	0	0	1	1	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: федеральными государственными органами / 4.0	12	12	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: физическими лицами / 9.0	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   именные стипендии, учрежденные: юридическими лицами / 7.0	0	0	0	36	4	32
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   полученных от приносящей доход деятельности / 17.0	7	6	1	281	200	81
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	   стипендии Правительства Российской Федерации / 3.0	14	14	0	26	23	3
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные физическими лицами (кроме именных,
   указанных в строке 09) / 12.0"	0	0	0	0	0	0
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	"   стипендии, назначенные юридическими лицами (кроме именных,
   указанных в строке 07) / 10.0"	0	0	0	41	27	14
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих другие формы материальной поддержки / 14.0	229	215	14	1512	1149	363
Амурская область	Государственные, муниципальные (без учета организаций в ведении ФСИН); Очная	Численность студентов, получающих: государственные академические стипендии / 1.0	1853	1803	50	5969	4766	1203
