region	tags	indicator	Всего, человек > 3.0	Из гр. 3 > жен-щины > 16.0	Из гр. 3 > имеют квалификацион-ные категории > высшую > 14.0	Из гр. 3 > имеют квалификацион-ные категории > первую > 15.0	Из них (из гр.3) имеют образование > Из гр.4 имеют: > ученое звание > доцента > 10.0	Из них (из гр.3) имеют образование > Из гр.4 имеют: > ученое звание > профессора > 9.0	Из них (из гр.3) имеют образование > Из гр.4 имеют: > ученую степень > PhD > 8.0	Из них (из гр.3) имеют образование > Из гр.4 имеют: > ученую степень > доктора наук > 6.0	Из них (из гр.3) имеют образование > Из гр.4 имеют: > ученую степень > кандидата наук > 7.0	Из них (из гр.3) имеют образование > высшее > 4.0	"Из них (из гр.3) имеют образование > из них (гр. 11) педаго-гическое
 > 12.0"	Из них (из гр.3) имеют образование > из них (из гр.4) педаго- гическое > 5.0	"Из них (из гр.3) имеют образование > среднее профес-сиональное образование по программам подготовки квалифици-
рованных рабочих (служащих) > 13.0"	Из них (из гр.3) имеют образование > среднее профес-сиональное образование по программам подготовки специалистов среднего звена > 11.0	численность работников в пересчете на полную занятость, единиц > 17.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          по общеобразовательных дисциплин / 8.0"	642.0	519.0	271.0	136.0	10.0	0.0	0.0	0.0	26.0	571.0	45.0	512.0	4.0	59.0	685.4
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	          математического и общего естественнонаучного учебного цикла / 10.0	142.0	118.0	67.0	26.0	4.0	0.0	0.0	0.0	8.0	136.0	4.0	127.0	0.0	5.0	153.59999999999997
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и социально-экономического учебного
          цикла / 9.0"	240.0	200.0	104.0	44.0	6.0	0.0	0.0	0.0	14.0	228.0	8.0	181.0	0.0	12.0	254.3
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	          профессионального учебного цикла / 11.0	1145.0	847.0	495.0	211.0	20.0	0.0	0.0	0.0	48.0	981.0	54.0	544.0	1.0	158.0	1289.5
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	2169.0	1684.0	937.0	417.0	40.0	0.0	0.0	0.0	96.0	1916.0	111.0	1364.0	5.0	234.0	2382.8000000000006
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       в том числе: педагоги-организаторы / 15.0	39.0	35.0	10.0	7.0	0.0	0.0	0.0	0.0	0.0	33.0	1.0	21.0	0.0	6.0	37.5
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       заместители директора (начальника) / 4.0	198.0	159.0	72.0	7.0	1.0	0.0	0.0	0.0	6.0	195.0	0.0	130.0	0.0	3.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	52.0	26.0	15.0	1.0	2.0	0.0	0.0	0.0	7.0	52.0	0.0	35.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       мастера производственного обучения / 12.0	376.0	184.0	131.0	94.0	0.0	0.0	0.0	0.0	0.0	131.0	71.0	48.0	42.0	188.0	370.5
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	83.0	82.0	22.0	12.0	0.0	0.0	0.0	0.0	3.0	78.0	2.0	57.0	0.0	4.0	79.5
