region	tags	indicator	Всего (сумма граф 4-9) > 3.0	Из гр. 3 имеют педагогический стаж работы, всего (сумма гр.11-16) > 10.0	Не имеют педагоги-ческого стажа работы > 17.0	из гр. 10 – имеют педагогический стаж работы, лет > 20 и более > 16.0	из гр. 10 – имеют педагогический стаж работы, лет > до 3 > 11.0	из гр. 10 – имеют педагогический стаж работы, лет > от 10 до 15 > 14.0	из гр. 10 – имеют педагогический стаж работы, лет > от 15 до 20 > 15.0	из гр. 10 – имеют педагогический стаж работы, лет > от 3 до 5 > 12.0	из гр. 10 – имеют педагогический стаж работы, лет > от 5 до 10 > 13.0	из гр. 3 – имеют общий стаж работы, лет > 20 и более > 9.0	из гр. 3 – имеют общий стаж работы, лет > до 3 > 4.0	из гр. 3 – имеют общий стаж работы, лет > от 10 до 15 > 7.0	из гр. 3 – имеют общий стаж работы, лет > от 15 до 20 > 8.0	из гр. 3 – имеют общий стаж работы, лет > от 3 до 5 > 5.0	из гр. 3 – имеют общий стаж работы, лет > от 5 до 10 > 6.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных дисциплин / 8.0"	642	635	7	279	114	67	73	42	60	331	73	84	73	27	54
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего естественнонаучного
          учебного цикла / 10.0"	142	141	1	68	17	13	10	13	20	71	16	16	12	11	16
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и социально-
          экономического учебного цикла / 9.0"	240	239	1	114	37	13	24	19	32	135	25	21	22	11	26
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	          профессионального учебного цикла / 11.0	1145	1130	15	424	222	122	100	99	163	604	137	113	113	69	109
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего (сумма строк 8-11) / 7.0"	2169	2145	24	885	390	215	207	173	275	1141	251	234	220	118	205
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       заместители директора (начальника) / 4.0	198	155	43	98	3	18	23	5	8	148	1	11	31	3	4
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	52	47	5	28	5	7	6	0	1	44	0	3	5	0	0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       мастера производственного обучения / 12.0	376	373	3	104	83	40	36	42	68	208	39	33	32	22	42
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	83	79	4	30	8	9	9	11	12	43	3	10	15	3	9
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-организаторы / 15.0	39	37	2	9	7	7	4	3	7	14	4	9	5	3	4
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	56	53	3	11	14	7	6	8	7	19	9	10	10	6	2
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы (основ безопасности
       жизнедеятельности, допризывной подготовки) / 16.0"	24	24	0	13	2	1	2	3	3	18	1	1	1	1	2
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	222	214	8	78	32	27	22	22	33	120	9	29	30	11	23
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководители физического воспитания / 17.0	31	31	0	20	1	6	0	0	4	22	1	3	3	1	1
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       руководитель филиала / 5.0	24	20	4	7	2	3	5	2	1	14	0	6	3	1	0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       социальные педагоги / 13.0	42	41	1	13	10	4	1	3	10	17	3	7	5	1	9
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       тьюторы / 19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    педагогические работники - всего 
    (сумма строк 07,12-20) / 6.0"	3042	2997	45	1163	547	316	287	265	419	1602	320	336	321	166	297
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    в том числе: 
    руководящие работники - всего / 2.0"	474	357	117	200	21	38	59	16	23	336	2	42	71	7	16
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    обслуживающий персонал / 22.0	1924	59	1865	19	24	3	6	5	2	1143	90	198	239	91	163
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	    учебно-вспомогательный персонал / 21.0	733	80	653	21	29	6	5	12	7	380	77	90	101	21	64
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 23.0	446	441	5	205	54	44	49	39	50	241	26	57	58	14	50
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 24.0	1630	1611	19	650	312	159	149	126	215	865	202	165	155	96	147
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 25.0	305	303	2	89	67	31	32	35	49	173	30	26	27	15	34
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 12 мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 26.0	57	56	1	13	13	8	4	5	13	26	9	6	3	5	8
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников - всего (сумма строк 02, 06, 21, 22) / 1.0	6173	3493	2680	1403	621	363	357	298	451	3461	489	666	732	285	540
