region	tags	indicator	Всего > 3.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	230
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	13
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	279
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	66
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	5
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	70
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	69
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	48
Амурская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	121
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	       подготовки специалистов среднего звена / 3.0	3
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	0
Амурская область	Частные; Сведения об организации, реализуемых программах и персонале	Численность работников, выполняющих работы по договорам гражданско-правового характера - всего: / 1.0	3
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       подготовки специалистов среднего звена / 3.0	141
Архангельская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"    из них осуществляющие образовательную деятельность по реализации
    образовательных программ:
       подготовки квалифицированных рабочих, служащих / 2.0"	97
