region	tags	indicator	Всего > 3.0	"Из граф 4-8 прошли в предыдущем учебном году: > в том числе 
(из гр.9) в профильных организациях и предприятиях
 > 16.0"	Из граф 4-8 прошли в предыдущем учебном году: > из них (из гр. 8) в организациях и предприятиях реального сектора экономики > 15.0	Из граф 4-8 прошли в предыдущем учебном году: > из них: > в форме стажировки (из гр. 7) > 14.0	"Из граф 4-8 прошли в предыдущем учебном году: > из них: > по вопросам получения среднего
профессионального образования инвалидами и лицами с ОВЗ > 11.0"	Из граф 4-8 прошли в предыдущем учебном году: > из них: > по использова-нию информа-ционных и коммуника-ционных технологий (из гр. 6) > 13.0	Из граф 4-8 прошли в предыдущем учебном году: > из них: > по профилю педагогиче- ской деятельнос-ти (из гр. 5) > 12.0	Из граф 4-8 прошли в предыдущем учебном году: > повышение квалифика- ции и (или) профессио-нальную перепод-готовку (из гр. 4) > 10.0	"Из графы 3 прошли за последние три года: > в том числе 
(из гр.8) в профильных организациях и предприятиях
 > 9.0"	Из графы 3 прошли за последние три года: > из них (из гр. 7) в организациях и предприятиях реального сектора экономики > 8.0	Из графы 3 прошли за последние три года: > из них: > в форме стажировки > 7.0	Из графы 3 прошли за последние три года: > из них: > по использова-нию информа-ционных и коммуника-ционных технологий > 6.0	Из графы 3 прошли за последние три года: > из них: > по профилю педагогиче-ской деятельнос-ти > 5.0	Из графы 3 прошли за последние три года: > повышение квалифика-ции и (или) профессио-нальную перепод-готовку > 4.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      заместители директора
      (начальника) / 3.0"	198.0	0.0	0.0	4.0	17.0	17.0	62.0	99.0	0.0	0.0	10.0	36.0	133.0	174.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      директор (начальник) / 2.0"	52.0	0.0	0.0	1.0	5.0	3.0	20.0	35.0	0.0	0.0	2.0	10.0	32.0	50.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      из них: 
      преподаватели / 6.0"	2169.0	143.0	155.0	208.0	233.0	232.0	774.0	1218.0	291.0	332.0	406.0	550.0	1659.0	1998.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"      мастера производственного
      обучения / 7.0"	376.0	70.0	73.0	78.0	31.0	18.0	109.0	208.0	162.0	176.0	196.0	28.0	228.0	344.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	      руководитель филиала / 4.0	24.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	4.0	2.0	16.0	19.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 9.0	446.0	30.0	30.0	46.0	21.0	42.0	144.0	211.0	59.0	79.0	93.0	99.0	321.0	405.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 06 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 10.0	1630.0	111.0	123.0	157.0	189.0	185.0	594.0	952.0	224.0	245.0	283.0	432.0	1267.0	1519.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 11.0	305.0	52.0	54.0	59.0	27.0	16.0	82.0	166.0	121.0	131.0	148.0	24.0	175.0	277.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 07 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 12.0	57.0	14.0	15.0	15.0	2.0	2.0	21.0	34.0	32.0	35.0	38.0	4.0	39.0	53.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Педагогические работники - всего / 5.0	3042.0	217.0	232.0	292.0	300.0	259.0	942.0	1547.0	461.0	523.0	624.0	622.0	2185.0	2690.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Руководящие работники - всего / 1.0	474.0	0.0	0.0	15.0	40.0	28.0	118.0	199.0	0.0	0.0	31.0	83.0	283.0	389.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Учебно-вспомогательный персонал / 8.0	733.0	6.0	6.0	7.0	8.0	22.0	42.0	114.0	6.0	6.0	9.0	77.0	119.0	291.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"      заместители директора
      (начальника) / 3.0"	6.0	0.0	0.0	1.0	0.0	0.0	3.0	4.0	0.0	0.0	1.0	0.0	3.0	5.0
Алтайский край	Частные; Сведения об организации, реализуемых программах и персонале	"      из них: 
      директор (начальник) / 2.0"	4.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	3.0
