region	tags	indicator	Численность иностранных работников без внешних совместителей и работающих по договорам гражданско-правового характера, человек > 3.0	Численность иностранных работников, в пересчете на полную занятость, единиц > без внешних совместителей и работающих по договорам гражданско-правового характера > 9.0	Численность иностранных работников, в пересчете на полную занятость, единиц > внешние совместители > 10.0	Численность иностранных работников, работающих на условиях внешнего совместительства, человек > 6.0	из них граждане: > государств-участников СНГ > 4.0	из них граждане: > государств-участников СНГ > 7.0	из них граждане: > стран Европейского Союза и США > 5.0	из них граждане: > стран Европейского Союза и США > 8.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"   из них: 
   преподаватели / 2.0"	2.0	1.9	0.0	0.0	2.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	   мастера производственного обучения / 3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 02 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 02 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 6.0	2.0	1.9	0.0	0.0	2.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 03 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Из строки 03 - мастера производственного обучения, осуществляющие деятельность по реализации образовательных программ: подготовки специалистов среднего звена / 8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Педагогические работники - всего / 1.0	4.0	3.9	0.0	0.0	4.0	0.0	0.0	0.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 11.    из них граждане: государств-участников СНГ / 10.0	0.0							
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 11.    из них граждане: стран Европейского союза и США / 11.0	0.0							
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Справка 11. Из строки 09 - преподаватели, осуществляющие деятельность по реализации образовательных программ: подготовки квалифицированных рабочих, служащих / 12.0	0.0							
