region	tags	indicator	 Выбыло работников, человек > всего > 10.0	" Выбыло работников, человек > из них по собственному желанию
 > 11.0"	Принято работников, человек > всего > 7.0	Принято работников, человек > из них выпускники: > с высшим образованием > 9.0	Принято работников, человек > из них выпускники: > со средним профессиональ-ным образованием по программам подготовки специалистов среднего звена > 8.0	Фактически занято, единиц > всего > 4.0	"Фактически занято, единиц > работниками списочного состава
 > 5.0"	Численность работников на начало отчетного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек > 12.0	Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек > 6.0	Число ставок по штату, единиц > 3.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных
          дисциплин / 8.0"	171.0	125.0	170.0	73.0	25.0	834.2299999999998	731.9399999999999	642.0	626.0	1053.9200000000003
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего
          естественнонаучного учебного
          цикла / 10.0"	45.0	27.0	29.0	15.0	5.0	199.79	159.10999999999999	142.0	159.0	303.43999999999994
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и
          социально-экономического
           учебного цикла / 9.0"	68.0	42.0	38.0	18.0	4.0	334.98	280.13	240.0	274.0	468.2800000000001
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          профессионального учебного
          цикла / 11.0"	369.0	176.0	302.0	126.0	56.0	1762.19	1425.1	1145.0	1219.0	2206.7200000000003
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего
       (сумма строк 8-11) / 7.0"	653.0	370.0	539.0	232.0	90.0	3131.19	2596.2799999999997	2169.0	2278.0	4032.359999999999
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       заместители директора
       (начальника) / 4.0"	24.0	21.0	20.0	9.0	0.0	201.0	187.5	198.0	195.0	216.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	7.0	4.0	8.0	5.0	0.0	52.25	48.25	52.0	51.0	54.25
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       мастера производственного
       обучения / 12.0"	61.0	53.0	46.0	12.0	20.0	452.34999999999997	389.84999999999997	376.0	399.0	601.5199999999999
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	12.0	9.0	19.0	4.0	3.0	103.05	92.05	83.0	78.0	136.5
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-организаторы / 15.0	10.0	9.0	12.0	3.0	0.0	40.0	37.5	39.0	38.0	54.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	13.0	10.0	11.0	5.0	1.0	56.2	51.2	56.0	59.0	68.9
