region	tags	indicator	Всего (сумма гр.4, 6, 8, 10, 12, 14, 16, 18, 20, 22) > 3.0	Число полных лет по состоянию на 1 января следующего года > 25 – 29 > всего > 6.0	Число полных лет по состоянию на 1 января следующего года > 25 – 29 > из них жен-щины > 7.0	Число полных лет по состоянию на 1 января следующего года > 30 – 34 > всего > 8.0	Число полных лет по состоянию на 1 января следующего года > 30 – 34 > из них жен-щины > 9.0	Число полных лет по состоянию на 1 января следующего года > 35 – 39 > всего > 10.0	Число полных лет по состоянию на 1 января следующего года > 35 – 39 > из них жен-щины > 11.0	Число полных лет по состоянию на 1 января следующего года > 40 – 44 > всего > 12.0	Число полных лет по состоянию на 1 января следующего года > 40 – 44 > из них жен-щины > 13.0	Число полных лет по состоянию на 1 января следующего года > 45 – 49 > всего > 14.0	Число полных лет по состоянию на 1 января следующего года > 45 – 49 > из них жен-щины > 15.0	Число полных лет по состоянию на 1 января следующего года > 50 – 54 > всего > 16.0	Число полных лет по состоянию на 1 января следующего года > 50 – 54 > из них жен-щины > 17.0	Число полных лет по состоянию на 1 января следующего года > 55 – 59 > всего > 18.0	Число полных лет по состоянию на 1 января следующего года > 55 – 59 > из них жен-щины > 19.0	Число полных лет по состоянию на 1 января следующего года > 60 – 64 > всего > 20.0	Число полных лет по состоянию на 1 января следующего года > 60 – 64 > из них жен-щины > 21.0	Число полных лет по состоянию на 1 января следующего года > 65 и более > всего > 22.0	Число полных лет по состоянию на 1 января следующего года > 65 и более > из них жен-щины > 23.0	Число полных лет по состоянию на 1 января следующего года > моложе 25 лет > всего > 4.0	Число полных лет по состоянию на 1 января следующего года > моложе 25 лет > из них жен-щины > 5.0	Число полных лет по состоянию на 1 января следующего года > средний возраст, лет > 24.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          из них: 
          общеобразовательных
          дисциплин / 8.0"	642.0	45.0	32.0	53.0	40.0	81.0	71.0	70.0	65.0	91.0	72.0	73.0	62.0	60.0	50.0	68.0	52.0	43.0	32.0	58.0	43.0	44.4
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          математического и общего
          естественнонаучного учебного
          цикла / 10.0"	142.0	8.0	7.0	12.0	9.0	13.0	10.0	20.0	20.0	18.0	15.0	12.0	10.0	17.0	13.0	17.0	13.0	11.0	9.0	14.0	12.0	45.4
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          общего гуманитарного и
          социально-экономического
           учебного цикла / 9.0"	240.0	16.0	11.0	17.0	13.0	23.0	20.0	27.0	23.0	37.0	34.0	36.0	30.0	29.0	26.0	22.0	18.0	16.0	13.0	17.0	12.0	46.1
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"          профессионального учебного
          цикла / 11.0"	1145.0	104.0	71.0	95.0	68.0	119.0	89.0	132.0	105.0	141.0	112.0	99.0	73.0	89.0	70.0	113.0	78.0	141.0	96.0	112.0	85.0	45.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       в том числе: 
       преподаватели - всего
       (сумма строк 8-11) / 7.0"	2169.0	173.0	121.0	177.0	130.0	236.0	190.0	249.0	213.0	287.0	233.0	220.0	175.0	195.0	159.0	220.0	161.0	211.0	150.0	201.0	152.0	44.7
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       заместители директора
       (начальника) / 4.0"	198.0	1.0	1.0	8.0	6.0	19.0	13.0	31.0	26.0	41.0	34.0	40.0	35.0	27.0	25.0	18.0	11.0	13.0	8.0	0.0	0.0	49.5
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       из них: 
       директор (начальник) / 3.0"	52.0	0.0	0.0	3.0	3.0	3.0	1.0	6.0	0.0	5.0	4.0	10.0	8.0	9.0	5.0	10.0	4.0	6.0	1.0	0.0	0.0	52.9
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       мастера производственного
       обучения / 12.0"	376.0	30.0	17.0	21.0	9.0	40.0	22.0	40.0	24.0	43.0	24.0	42.0	20.0	51.0	21.0	52.0	18.0	23.0	11.0	34.0	18.0	45.7
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       методисты / 18.0	83.0	6.0	6.0	8.0	8.0	8.0	8.0	16.0	16.0	9.0	9.0	13.0	12.0	8.0	8.0	7.0	7.0	5.0	5.0	3.0	3.0	45.6
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-организаторы / 15.0	39.0	2.0	2.0	2.0	2.0	9.0	8.0	8.0	8.0	5.0	5.0	4.0	3.0	2.0	1.0	1.0	1.0	3.0	3.0	3.0	2.0	43.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       педагоги-психологи / 14.0	56.0	6.0	6.0	4.0	4.0	11.0	11.0	9.0	9.0	9.0	9.0	8.0	8.0	0.0	0.0	2.0	2.0	1.0	1.0	6.0	6.0	39.9
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       преподаватели-организаторы
       (основ безопасности
       жизнедеятельности, 
       допризывной подготовки) / 16.0"	24.0	0.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	2.0	1.0	5.0	0.0	3.0	1.0	5.0	0.0	4.0	0.0	1.0	0.0	52.0
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	       прочие / 20.0	222.0	10.0	6.0	12.0	8.0	20.0	18.0	20.0	16.0	36.0	32.0	44.0	38.0	29.0	23.0	26.0	18.0	18.0	11.0	7.0	7.0	48.6
Алтайский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	"       руководители физического
       воспитания / 17.0"	31.0	1.0	1.0	1.0	0.0	5.0	1.0	1.0	0.0	4.0	3.0	6.0	1.0	7.0	1.0	4.0	0.0	2.0	1.0	0.0	0.0	50.3
