region	tags	indicator	Код: да - 1, нет - 2 / 3
Алтайский край	персонал; Государственные, Муниципальные	Коллегиальные органы управления / 03	14.0
Алтайский край	персонал; Государственные, Муниципальные	Лицензия на осуществление образовательной деятельности / 01	14.0
Алтайский край	персонал; Государственные, Муниципальные	Профессиональные союзы работников / 12	10.0
Алтайский край	персонал; Государственные, Муниципальные	Профессиональные союзы студентов / 11	9.0
Алтайский край	персонал; Государственные, Муниципальные	Свидетельство о государственной аккредитации образовательной деятельности / 02	14.0
Алтайский край	персонал; Государственные, Муниципальные	Студенческие советы / 10	14.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	11.0
Алтайский край	персонал; Государственные, Муниципальные	другие / 09	7.0
Алтайский край	персонал; Государственные, Муниципальные	из строки 03 – с участием общественности (работодателей) / 13	11.0
Алтайский край	персонал; Государственные, Муниципальные	наблюдательный совет / 08	0.0
Алтайский край	персонал; Государственные, Муниципальные	попечительский совет / 06	10.0
Алтайский край	персонал; Государственные, Муниципальные	управляющий совет / 07	0.0
Алтайский край	персонал; Государственные, Муниципальные	ученый совет / 05	12.0
Алтайский край	персонал; Частные	Коллегиальные органы управления / 03	3.0
Алтайский край	персонал; Частные	Лицензия на осуществление образовательной деятельности / 01	3.0
Алтайский край	персонал; Частные	Профессиональные союзы работников / 12	0.0
Алтайский край	персонал; Частные	Профессиональные союзы студентов / 11	0.0
Алтайский край	персонал; Частные	Свидетельство о государственной аккредитации образовательной деятельности / 02	1.0
Алтайский край	персонал; Частные	Студенческие советы / 10	3.0
Алтайский край	персонал; Частные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	2.0
Алтайский край	персонал; Частные	другие / 09	1.0
Алтайский край	персонал; Частные	из строки 03 – с участием общественности (работодателей) / 13	1.0
Алтайский край	персонал; Частные	наблюдательный совет / 08	0.0
Алтайский край	персонал; Частные	попечительский совет / 06	0.0
Алтайский край	персонал; Частные	управляющий совет / 07	0.0
Алтайский край	персонал; Частные	ученый совет / 05	3.0
Амурская область	персонал; Государственные, Муниципальные	Коллегиальные органы управления / 03	6.0
Амурская область	персонал; Государственные, Муниципальные	Лицензия на осуществление образовательной деятельности / 01	6.0
Амурская область	персонал; Государственные, Муниципальные	Профессиональные союзы работников / 12	6.0
Амурская область	персонал; Государственные, Муниципальные	Профессиональные союзы студентов / 11	5.0
Амурская область	персонал; Государственные, Муниципальные	Свидетельство о государственной аккредитации образовательной деятельности / 02	6.0
Амурская область	персонал; Государственные, Муниципальные	Студенческие советы / 10	6.0
Амурская область	персонал; Государственные, Муниципальные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	5.0
Амурская область	персонал; Государственные, Муниципальные	другие / 09	3.0
Амурская область	персонал; Государственные, Муниципальные	из строки 03 – с участием общественности (работодателей) / 13	4.0
Амурская область	персонал; Государственные, Муниципальные	наблюдательный совет / 08	0.0
Амурская область	персонал; Государственные, Муниципальные	попечительский совет / 06	2.0
