region	tags	indicator	Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / Подано заявлений / 3	Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / Принято / 4	Обучение по договорам об оказании платных образовательных услуг / Подано заявлений / 5	Обучение по договорам об оказании платных образовательных услуг / Принято / 6
Алтайский край	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 04, 06, 08) / 01	2067.0	518.0	1140.0	518.0
Алтайский край	Государственные, Муниципальные; заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	1680.0	405.0	764.0	336.0
Алтайский край	Государственные, Муниципальные; заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	387.0	113.0	180.0	112.0
Алтайский край	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	851.0	143.0	426.0	137.0
Алтайский край	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	21.0	5.0
Алтайский край	Государственные, Муниципальные; заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	5.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	магистра / 06	0.0	0.0	33.0	19.0
Алтайский край	Государственные, Муниципальные; заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	163.0	51.0
Алтайский край	Государственные, Муниципальные; очная	Всего (сумма строк 02, 04, 06, 08) / 01	4204.0	1410.0	611.0	283.0
Алтайский край	Государственные, Муниципальные; очная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	3418.0	1196.0	559.0	271.0
Алтайский край	Государственные, Муниципальные; очная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	786.0	214.0	12.0	1.0
Алтайский край	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	2801.0	996.0	371.0	165.0
Алтайский край	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	5.0	0.0
Алтайский край	Государственные, Муниципальные; очная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	2.0	1.0
Алтайский край	Государственные, Муниципальные; очная	магистра / 06	0.0	0.0	7.0	2.0
Алтайский край	Государственные, Муниципальные; очная	специалиста (кроме стр. 08) / 04	0.0	0.0	33.0	9.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Всего (сумма строк 02, 04, 06, 08) / 01	67.0	29.0	275.0	167.0
Алтайский край	Государственные, Муниципальные; очно-заочная	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очно-заочная	в том числе поступали на базе образования:  высшего, подтвержденного дипломом: бакалавра / 02	58.0	24.0	166.0	105.0
Алтайский край	Государственные, Муниципальные; очно-заочная	высшего профессионального, подтвержденного присвоением квалификации «дипломированный специалист» / 08	9.0	5.0	36.0	26.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 03	40.0	14.0	60.0	32.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 05	0.0	0.0	3.0	1.0
Алтайский край	Государственные, Муниципальные; очно-заочная	из них получили указанное образование за период с 1 октября  прошлого года по 30 сентября текущего года / 07	0.0	0.0	1.0	1.0
Алтайский край	Государственные, Муниципальные; очно-заочная	магистра / 06	0.0	0.0	9.0	7.0
Алтайский край	Государственные, Муниципальные; очно-заочная	специалиста (кроме стр. 08) / 04	0.0	0.0	64.0	29.0
Алтайский край	очная; Частные	Всего (сумма строк 02, 04, 06, 08) / 01	0.0	0.0	0.0	0.0
Алтайский край	очная; Частные	Из строки 01: выпускники подготовительных курсов при данной организации / 09	0.0	0.0	0.0	0.0
