region	tags	indicator	Программы бакалавриата / Принято / 3	Программы бакалавриата / из них женщины / 4	Программы бакалавриата / Числен-ность студентов / 5	Программы бакалавриата / из них женщины / 6	Программы бакалавриата / Выпуск / 7	Программы бакалавриата / из них женщины / 8	Программы специалитета / Принято / 9	Программы специалитета / из них женщины / 10	Программы специалитета / Числен-ность студентов / 11	Программы специалитета / из них женщины / 12	Программы специалитета / Выпуск / 13	Программы специалитета / из них женщины / 14	Программы магистратуры / Принято / 15	Программы магистратуры / из них женщины / 16	Программы магистратуры / Числен-ность студентов / 17	Программы магистратуры / из них женщины / 18	Программы магистратуры / Выпуск / 19	Программы магистратуры / из них женщины / 20
Алтайский край	Государственные, Муниципальные; заочная	15 лет / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	16 лет / 04	6.0	5.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	17 лет / 05	40.0	36.0	45.0	40.0	0.0	0.0	12.0	12.0	13.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	18 лет / 06	110.0	80.0	175.0	139.0	0.0	0.0	41.0	35.0	68.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	19 лет / 07	219.0	133.0	370.0	280.0	0.0	0.0	56.0	45.0	101.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	20 лет / 08	321.0	187.0	713.0	519.0	0.0	0.0	47.0	32.0	140.0	111.0	0.0	0.0	11.0	11.0	12.0	12.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	21 лет / 09	241.0	149.0	1036.0	708.0	7.0	7.0	47.0	34.0	142.0	103.0	1.0	1.0	73.0	60.0	89.0	74.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	22 лет / 10	163.0	77.0	1208.0	827.0	74.0	70.0	21.0	16.0	121.0	79.0	5.0	4.0	143.0	111.0	269.0	217.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	23 лет / 11	86.0	46.0	1147.0	762.0	188.0	162.0	12.0	7.0	89.0	48.0	31.0	28.0	99.0	73.0	360.0	271.0	17.0	15.0
Алтайский край	Государственные, Муниципальные; заочная	24 лет / 12	57.0	31.0	1077.0	625.0	174.0	129.0	17.0	6.0	53.0	30.0	14.0	8.0	58.0	34.0	267.0	193.0	116.0	102.0
Алтайский край	Государственные, Муниципальные; заочная	25 лет / 13	62.0	28.0	894.0	472.0	212.0	146.0	10.0	5.0	34.0	21.0	9.0	7.0	56.0	38.0	213.0	149.0	126.0	88.0
Алтайский край	Государственные, Муниципальные; заочная	26 лет / 14	39.0	21.0	622.0	327.0	191.0	105.0	3.0	1.0	24.0	13.0	12.0	9.0	41.0	24.0	137.0	82.0	60.0	41.0
Алтайский край	Государственные, Муниципальные; заочная	27 лет / 15	43.0	18.0	497.0	239.0	138.0	71.0	4.0	2.0	26.0	19.0	16.0	8.0	50.0	34.0	155.0	102.0	40.0	24.0
Алтайский край	Государственные, Муниципальные; заочная	28 лет / 16	37.0	13.0	432.0	190.0	77.0	38.0	4.0	3.0	11.0	10.0	12.0	10.0	33.0	19.0	105.0	75.0	36.0	29.0
Алтайский край	Государственные, Муниципальные; заочная	29 лет / 17	35.0	15.0	345.0	151.0	60.0	36.0	3.0	2.0	16.0	8.0	6.0	5.0	28.0	20.0	87.0	54.0	28.0	13.0
Алтайский край	Государственные, Муниципальные; заочная	30-34 года / 18	161.0	93.0	1257.0	666.0	233.0	124.0	8.0	7.0	46.0	31.0	22.0	18.0	125.0	84.0	386.0	257.0	116.0	69.0
Алтайский край	Государственные, Муниципальные; заочная	35-39 лет / 19	173.0	90.0	1047.0	588.0	176.0	116.0	7.0	6.0	46.0	35.0	9.0	7.0	136.0	87.0	361.0	253.0	105.0	70.0
Алтайский край	Государственные, Муниципальные; заочная	40 лет и старше / 20	129.0	82.0	894.0	590.0	151.0	94.0	5.0	3.0	29.0	21.0	7.0	6.0	183.0	136.0	437.0	313.0	163.0	100.0
Алтайский край	Государственные, Муниципальные; заочная	Всего / 01	1922.0	1104.0	11765.0	7128.0	1681.0	1098.0	297.0	216.0	959.0	683.0	144.0	111.0	1036.0	731.0	2878.0	2052.0	807.0	551.0
Алтайский край	Государственные, Муниципальные; заочная	в возрасте (число полных лет  на 1 января): в возрасте моложе 15 лет / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	15 лет / 03	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	16 лет / 04	156.0	86.0	157.0	86.0	0.0	0.0	45.0	35.0	45.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	17 лет / 05	1390.0	822.0	1557.0	930.0	0.0	0.0	323.0	211.0	351.0	236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	18 лет / 06	2326.0	1135.0	3915.0	2079.0	0.0	0.0	809.0	496.0	1179.0	756.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	19 лет / 07	672.0	364.0	4618.0	2468.0	1.0	1.0	161.0	86.0	1378.0	839.0	0.0	0.0	2.0	2.0	2.0	2.0	0.0	0.0
