region	tags	indicator	Принято на обучение / всего / 4	Принято на обучение / из них лица с ОВЗ, инвалиды, дети-инвалиды / 5	Из общего приема (из гр. 4) / женщины / 6	Из общего приема (из гр. 4) / граждане стран СНГ / 7
Алтайский край	Государственные, Муниципальные; заочная	Всего по программам бакалавриата, специалитета и магистратуры (сумма строк 01, 02, 03) / 04 / 0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Лингвистика / 01 / 45.03.02	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Лингвистика / 03 / 45.04.02	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Педагогика и психология девиантного поведения / 02 / 44.05.01	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Педагогическое образование (с двумя профилями подготовки) / 01 / 44.03.05	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Педагогическое образование / 01 / 44.03.01	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Педагогическое образование / 03 / 44.04.01	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Прикладная информатика / 01 / 09.03.03	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Прикладная информатика / 03 / 09.04.03	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Прикладная математика / 01 / 01.03.04	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Программы бакалавриата - всего / 01 / 0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Программы магистратуры - всего / 03 / 0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Программы специалитета - всего / 02 / 0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Психология / 01 / 37.03.01	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Психолого-педагогическое образование / 01 / 44.03.02	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Психолого-педагогическое образование / 03 / 44.04.02	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Специальное (дефектологическое) образование / 01 / 44.03.03	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Специальное (дефектологическое) образование / 03 / 44.04.03	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Туризм / 01 / 43.03.02	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Физическая культура / 01 / 49.03.01	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Физическая культура / 03 / 49.04.01	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Актерское искусство / 02 / 52.05.01	3.0	0.0	3.0	3.0
Алтайский край	Государственные, Муниципальные; очная	Биотехнология / 01 / 19.03.01	1.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Всего по программам бакалавриата, специалитета и магистратуры (сумма строк 01, 02, 03) / 04 / 0	52.0	0.0	19.0	13.0
Алтайский край	Государственные, Муниципальные; очная	Гостиничное дело / 01 / 43.03.03	2.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Дизайн / 01 / 54.03.01	1.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Зарубежное регионоведение / 03 / 41.04.01	1.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Информатика и вычислительная техника / 01 / 09.03.01	2.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Информатика и вычислительная техника / 03 / 09.04.01	1.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Информационная безопасность / 03 / 10.04.01	2.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	История / 03 / 46.04.01	1.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Конструкторско-технологическое обеспечение машиностроительных производств / 01 / 15.03.05	1.0	0.0	0.0	0.0
