region	tags	indicator	Численность студентов 1 курса / всего / 5	Численность студентов 1 курса / из них лица с ОВЗ, инвалиды, дети-инвалиды / 6	Численность студентов 2 курса / всего / 7	Численность студентов 2 курса / из них лица с ОВЗ, инвалиды, дети-инвалиды / 8	Численность студентов 3 курса / всего / 9	Численность студентов 3 курса / из них лица с ОВЗ, инвалиды, дети-инвалиды / 10	Численность студентов 4 курса / всего / 11	Численность студентов 4 курса / из них лица с ОВЗ, инвалиды, дети-инвалиды / 12	Численность студентов 5 курса / всего / 13	Численность студентов 5 курса / из них лица с ОВЗ, инвалиды, дети-инвалиды / 14	Численность студентов 6 курса / всего / 15	Численность студентов 6 курса / из них лица с ОВЗ, инвалиды, дети-инвалиды / 16	Численность студентов 7 курса / всего / 17	Численность студентов 7 курса / из них лица с ОВЗ, инвалиды, дети-инвалиды / 18	Итого студентов на всех курсах / всего (сумма гр. 5, 7, 9, 11, 13, 15, 17) / 19	Итого студентов на всех курсах / из них лица с ОВЗ, инвалиды, дети-инвалиды (сумма гр. 6, 8, 10, 12, 14, 16, 18) / 20	Из общей численности студентов (из гр. 19) / женщины / 21	Из общей численности студентов (из гр. 19) / граждане стран СНГ / 22
Алтайский край	Государственные, Муниципальные; заочная	Всего по программам бакалавриата, специалитета и магистратуры (сумма строк 01, 02, 03) / 04 / 0 / 0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Гостиничное дело / 01 / 1 / 43.03.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Лингвистика / 01 / 1 / 45.03.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Лингвистика / 03 / 1 / 45.04.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Обучаются второй год на данном курсе, включая находящихся в академическом отпуске: из строки 01 / 05 / 0 / 0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Обучаются второй год на данном курсе, включая находящихся в академическом отпуске: из строки 02 / 06 / 0 / 0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Обучаются второй год на данном курсе, включая находящихся в академическом отпуске: из строки 03 / 07 / 0 / 0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Обучаются по программам, которые содержат в рамках соответствующего курса обучения отдельные дисциплины (модули) в формате онлайн-курсов: из них с использованием онлайн-курсов сторонних организаций, осуществляющих образовательную деятельность / 09 / 0 / 0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Обучаются по программам, которые содержат в рамках соответствующего курса обучения отдельные дисциплины (модули) в формате онлайн-курсов: из них с использованием онлайн-курсов сторонних организаций, осуществляющих образовательную деятельность / 11 / 0 / 0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Обучаются по программам, которые содержат в рамках соответствующего курса обучения отдельные дисциплины (модули) в формате онлайн-курсов: из них с использованием онлайн-курсов сторонних организаций, осуществляющих образовательную деятельность / 13 / 0 / 0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
