region	tags	indicator	Программы бакалавриата / Всего (сумма гр. 4-7) / 3	Программы бакалавриата / В том числе обучаются / за счет бюджетных ассигнований / федераль-ного бюджета / 4	Программы бакалавриата / В том числе обучаются / за счет бюджетных ассигнований / бюджета субъекта Российской Федерации / 5	Программы бакалавриата / В том числе обучаются / за счет бюджетных ассигнований / местного бюджета / 6	Программы бакалавриата / В том числе обучаются / по договорам об оказании платных образова-тельных услуг / 7	Программы бакалавриата / Из гр. 3 - лица с ОВЗ, инвалиды, дети-инвалиды / 8	Программы специалитета / Всего (сумма гр. 10-13) / 9	Программы специалитета / В том числе обучаются / за счет бюджетных ассигнований / федераль-ного бюджета / 10	Программы специалитета / В том числе обучаются / за счет бюджетных ассигнований / бюджета субъекта Российской Федерации / 11	Программы специалитета / В том числе обучаются / за счет бюджетных ассигнований / местного бюджета / 12	Программы специалитета / В том числе обучаются / по договорам об оказании платных образова-тельных услуг / 13	Программы специалитета / Из гр. 9 - лица с ОВЗ, инвалиды, дети-инвалиды / 14	Программы магистратуры / Всего (сумма гр. 16-19) / 15	Программы магистратуры / В том числе обучаются / за счет бюджетных ассигнований / федераль-ного бюджета / 16	Программы магистратуры / В том числе обучаются / за счет бюджетных ассигнований / бюджета субъекта Российской Федерации / 17	Программы магистратуры / В том числе обучаются / за счет бюджетных ассигнований / местного бюджета / 18	Программы магистратуры / В том числе обучаются / по договорам об оказании платных образова-тельных услуг / 19	Программы магистратуры / Из гр. 15 -лица с ОВЗ, инвалиды, дети-инвалиды / 20
Алтайский край	Государственные, Муниципальные; заочная	Выбыло студентов - всего (сумма строк 07-11, 13-15) / 06	1548.0	498.0	0.0	0.0	1050.0	6.0	79.0	7.0	0.0	0.0	72.0	0.0	353.0	140.0	0.0	0.0	213.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Прибыло студентов - всего (сумма строк 02-05) / 01	629.0	126.0	0.0	0.0	503.0	1.0	53.0	3.0	0.0	0.0	50.0	0.0	46.0	9.0	0.0	0.0	37.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Численность студентов на начало предыдущего учебного года (на 1 октября) / 16	12443.0	6646.0	0.0	0.0	5797.0	48.0	832.0	104.0	0.0	0.0	728.0	0.0	2956.0	1124.0	0.0	0.0	1832.0	2.0
Алтайский край	Государственные, Муниципальные; заочная	возвратились из числа ранее отчисленных / 04	352.0	43.0	0.0	0.0	309.0	0.0	26.0	1.0	0.0	0.0	25.0	0.0	29.0	3.0	0.0	0.0	26.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	выбыло по другим причинам / 15	126.0	18.0	0.0	0.0	108.0	0.0	11.0	0.0	0.0	0.0	11.0	0.0	30.0	9.0	0.0	0.0	21.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	добровольно оставили образовательную организацию  (бросили учебу) / 10	511.0	219.0	0.0	0.0	292.0	3.0	30.0	6.0	0.0	0.0	24.0	0.0	155.0	88.0	0.0	0.0	67.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них не прошли итоговую аттестацию / 12	7.0	5.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	6.0	2.0	0.0	0.0	4.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них: переведено на другие формы обучения данной  образовательной организации на программы того же уровня / 07	78.0	14.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	1.0	0.0	0.0	12.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них: переведено с других форм обучения данной  образовательной организации с программ того же уровня / 02	192.0	46.0	0.0	0.0	146.0	1.0	16.0	1.0	0.0	0.0	15.0	0.0	7.0	2.0	0.0	0.0	5.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	отчислено в виде меры дисциплинарного взыскания / 13	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	отчислено из-за просрочки оплаты обучения / 14	379.0	0.0	0.0	0.0	379.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	56.0	0.0	0.0	0.0	56.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	отчислено:  по неуспеваемости / 11	418.0	235.0	0.0	0.0	183.0	3.0	30.0	1.0	0.0	0.0	29.0	0.0	98.0	42.0	0.0	0.0	56.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	переведено в другие образовательные организации  высшего образования на программы того же уровня / 08	33.0	9.0	0.0	0.0	24.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
