region	tags	indicator	Программы бакалавриата / Принято / 3	Программы бакалавриата / из них принято в пределах квоты приема лиц, имеющих особое право / 4	Программы бакалавриата / Численность студентов / 5	Программы бакалавриата / Выпуск / 6	Программы специалитета / Принято / 7	Программы специалитета / из них принято в пределах квоты приема лиц, имеющих особое право / 8	Программы специалитета / Численность студентов / 9	Программы специалитета / Выпуск / 10	Программы магистратуры / Принято / 11	Программы магистратуры / Численность студентов / 12	Программы магистратуры / Выпуск / 13
Алтайский край	Государственные, Муниципальные; заочная	Дети-инвалиды (кроме учтенных в стр. 03) / 05	2.0	2.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Инвалиды (кроме учтенных в стр. 02) / 04	7.0	5.0	31.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Алтайский край	Государственные, Муниципальные; заочная	Студенты с ограниченными возможностями здоровья / 01	5.0	5.0	24.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Численность студентов утративших статус «лицо с ограниченными возможностями здоровья» / 11	0.0										
Алтайский край	Государственные, Муниципальные; заочная	Численность студентов, которые впервые приобрели статус инвалидности или лица с ограниченными возможностями здоровья / 15	0.0										
Алтайский край	Государственные, Муниципальные; заочная	Численность студентов, утративших статус «инвалид» / 12	0.0										
Алтайский край	Государственные, Муниципальные; заочная	Численность студентов, утративших статус «ребёнок-инвалид» без присвоения статуса «инвалид» / 13	0.0										
Алтайский край	Государственные, Муниципальные; заочная	Численность студентов, утративших статус «ребёнок-инвалид» с присвоением статуса «инвалид» / 14	0.0										
Алтайский край	Государственные, Муниципальные; заочная	дети-инвалиды / 03	3.0	3.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них: инвалиды / 02	2.0	2.0	15.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Дети-инвалиды (кроме учтенных в стр. 03) / 05	11.0	11.0	29.0	3.0	8.0	6.0	10.0	2.0	0.0	2.0	1.0
Алтайский край	Государственные, Муниципальные; очная	Из них (из стр.01) обучаются по адаптированным образовательным программам: Студенты с ограниченными возможностями здоровья / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Из них (из стр.02) обучаются по адаптированным образовательным программам: из них: инвалиды / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Из них (из стр.03) обучаются по адаптированным образовательным программам: из них: дети-инвалиды / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Из них (из стр.04) обучаются по адаптированным образовательным программам: Инвалиды (кроме учтенных в стр. 07) / 09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; очная	Из них (из стр.05) обучаются по адаптированным образовательным программам: Дети-инвалиды (кроме учтенных в стр. 08) / 10	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
