region	tags	indicator	Всего (сумма гр. 4-6) / 3	в том числе по программам / бакалавриата / 4	в том числе по программам / специалитета / 5	в том числе по программам / магистратуры / 6
Алтайский край	персонал; Государственные, Муниципальные	Численность слушателей подготовительных отделений, получающих стипендии / 19	36.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Численность студентов, получающих другие формы материальной поддержки / 15	8210.0	2641.0	5375.0	194.0
Алтайский край	персонал; Государственные, Муниципальные	Численность студентов, получающих: государственные академические стипендии / 01	14704.0	9857.0	2873.0	1974.0
Алтайский край	персонал; Государственные, Муниципальные	бюджетных ассигнований федерального бюджета / 17	429.0	329.0	95.0	5.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 12	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе студентам, направленным ими на обучение / 14	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	государственные социальные стипендии / 02	5783.0	4222.0	1284.0	277.0
Алтайский край	персонал; Государственные, Муниципальные	из них за счет средств:  стипендиального фонда / 16	6012.0	2321.0	3502.0	189.0
Алтайский край	персонал; Государственные, Муниципальные	из них организацией, студентами которой они являются / 09	50.0	26.0	17.0	7.0
Алтайский край	персонал; Государственные, Муниципальные	именные стипендии, учрежденные: федеральными государственными органами / 05	13.0	11.0	1.0	1.0
Алтайский край	персонал; Государственные, Муниципальные	органами государственной власти субъекта Российской Федерации / 06	72.0	28.0	30.0	14.0
Алтайский край	персонал; Государственные, Муниципальные	органами местного самоуправления / 07	31.0	19.0	9.0	3.0
Алтайский край	персонал; Государственные, Муниципальные	полученных от приносящей доход деятельности / 18	1781.0	3.0	1778.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	стипендии Правительства Российской Федерации / 04	46.0	30.0	11.0	5.0
Алтайский край	персонал; Государственные, Муниципальные	стипендии Президента Российской Федерации / 03	28.0	16.0	5.0	7.0
Алтайский край	персонал; Государственные, Муниципальные	стипендии, назначенные физическими лицами (кроме именных, указанных в стр.10) / 13	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	стипендии, назначенные юридическими лицами (кроме именных, указанных в стр.08) / 11	0.0	0.0	0.0	0.0
