region	tags	indicator	Программы бакалавриата / Принято / 3	Программы бакалавриата / Численность студентов / 4	Программы бакалавриата / Выпуск / 5	Программы специалитета / Принято / 6	Программы специалитета / Численность студентов / 7	Программы специалитета / Выпуск / 8	Программы магистратуры / Принято / 9	Программы магистратуры / Численность студентов / 10	Программы магистратуры / Выпуск / 11
Алтайский край	персонал; Государственные, Муниципальные	Военнослужащие, исполнявшие интернациональный долг, участники других локальных конфликтов / 02	4.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Граждане, подвергшиеся воздействию радиации / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Инвалиды 1 и 2 групп, инвалиды с детства / 05	56.0	152.0	14.0	19.0	89.0	5.0	2.0	8.0	2.0
Алтайский край	персонал; Государственные, Муниципальные	Студенты, находящиеся на полном государственном обеспечении / 01	144.0	690.0	63.0	25.0	151.0	13.0	6.0	29.0	9.0
Алтайский край	персонал; Государственные, Муниципальные	Численность студентов, находящихся в академическом отпуске:  по состоянию здоровья / 07	119.0								
Алтайский край	персонал; Государственные, Муниципальные	из них (из строки 05) – дети-инвалиды / 06	13.0	7.0	1.0	8.0	7.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	из них ставшие инвалидами вследствие ранения, контузии, увечья или заболевания / 03	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	по уходу за ребенком до 3 лет / 08	87.0								
Алтайский край	персонал; Частные	Военнослужащие, исполнявшие интернациональный долг, участники других локальных конфликтов / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Граждане, подвергшиеся воздействию радиации / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Инвалиды 1 и 2 групп, инвалиды с детства / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Студенты, находящиеся на полном государственном обеспечении / 01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Численность студентов, находящихся в академическом отпуске:  по состоянию здоровья / 07	0.0								
Алтайский край	персонал; Частные	из них (из строки 05) – дети-инвалиды / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	из них ставшие инвалидами вследствие ранения, контузии, увечья или заболевания / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	по уходу за ребенком до 3 лет / 08	0.0								
Амурская область	персонал; Государственные, Муниципальные	Военнослужащие, исполнявшие интернациональный долг, участники других локальных конфликтов / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Граждане, подвергшиеся воздействию радиации / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Инвалиды 1 и 2 групп, инвалиды с детства / 05	24.0	59.0	6.0	5.0	31.0	2.0	1.0	3.0	1.0
Амурская область	персонал; Государственные, Муниципальные	Студенты, находящиеся на полном государственном обеспечении / 01	114.0	499.0	75.0	24.0	101.0	8.0	7.0	15.0	1.0
Амурская область	персонал; Государственные, Муниципальные	Численность студентов, находящихся в академическом отпуске:  по состоянию здоровья / 07	61.0								
Амурская область	персонал; Государственные, Муниципальные	из них (из строки 05) – дети-инвалиды / 06	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	из них ставшие инвалидами вследствие ранения, контузии, увечья или заболевания / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	по уходу за ребенком до 3 лет / 08	101.0								
