region	tags	indicator	Программы бакалавриата / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / подано заявлений / 3	Программы бакалавриата / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / принято / 4	Программы бакалавриата / Обучение по договорам об оказании платных образовательных услуг / подано заявлений / 5	Программы бакалавриата / Обучение по договорам об оказании платных образовательных услуг / принято / 6	Программы специалитета / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / подано заявлений / 7	Программы специалитета / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / принято / 8	Программы специалитета / Обучение по договорам об оказании платных образовательных услуг / подано заявлений / 9	Программы специалитета / Обучение по договорам об оказании платных образовательных услуг / принято / 10
Алтайский край	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 08, 10, 12, 13, 14, 16) / 01	6226.0	1307.0	2426.0	615.0	139.0	36.0	495.0	261.0
Алтайский край	Государственные, Муниципальные; заочная	в том числе поступали на базе образования:  среднего общего / 02	2502.0	285.0	1107.0	117.0	21.0	6.0	90.0	25.0
Алтайский край	Государственные, Муниципальные; заочная	высшего, подтвержденного дипломом: бакалавра / 12	0.0	0.0	58.0	14.0	0.0	0.0	17.0	10.0
Алтайский край	Государственные, Муниципальные; заочная	высшего, подтвержденного дипломом: магистра / 16	0.0	0.0	5.0	4.0	0.0	0.0	2.0	1.0
Алтайский край	Государственные, Муниципальные; заочная	высшего, подтвержденного дипломом: специалиста / 14	0.0	0.0	44.0	24.0	0.0	0.0	11.0	4.0
Алтайский край	Государственные, Муниципальные; заочная	других организаций, осуществляющих образовательную  деятельность по программам среднего общего образования / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них отдельных общеобразовательных организаций, осуществляющих обучение по адаптированным основным  общеобразовательным программам / 05	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 15	0.0	0.0	4.0	3.0	0.0	0.0	1.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года  по 30 сентября текущего года / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года (сумма стр. 04, 06, 07) / 03	1214.0	56.0	455.0	10.0	15.0	4.0	46.0	6.0
Алтайский край	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года по  30 сентября текущего года / 09	1874.0	250.0	274.0	60.0	52.0	10.0	173.0	95.0
Алтайский край	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 11	407.0	88.0	277.0	87.0	15.0	7.0	70.0	6.0
Алтайский край	Государственные, Муниципальные; заочная	из них полученного за период с 1 октября прошлого года по 30 сентября текущего года / 13	0.0	0.0	12.0	1.0	0.0	0.0	6.0	3.0
Алтайский край	Государственные, Муниципальные; заочная	из строки 03 – выпускники:  общеобразовательных организаций / 04	1214.0	56.0	455.0	10.0	15.0	4.0	46.0	6.0
Алтайский край	Государственные, Муниципальные; заочная	специальных учебно-воспитательных учреждений для  обучающихся с девиантным (общественно-опасным)  поведением / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	среднего профессионального по программам подготовки  квалифицированных рабочих, служащих / 08	2421.0	601.0	504.0	130.0	82.0	16.0	265.0	132.0
Алтайский край	Государственные, Муниципальные; заочная	среднего профессионального по программам подготовки  специалистов среднего звена / 10	1303.0	421.0	708.0	326.0	36.0	14.0	110.0	89.0
Алтайский край	Государственные, Муниципальные; очная	Всего (сумма строк 02, 08, 10, 12, 13, 14, 16) / 01	33867.0	4562.0	7145.0	1185.0	8277.0	1008.0	3715.0	766.0
