region	tags	indicator	Программы бакалавриата / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / подано заявлений / 3	Программы бакалавриата / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / принято / 4	Программы бакалавриата / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / из них лиц, имеющих преимущест-венное право зачисления / 5	Программы бакалавриата / Обучение по договорам об оказании платных образовательных услуг / подано заявлений / 6	Программы бакалавриата / Обучение по договорам об оказании платных образовательных услуг / принято / 7	Программы бакалавриата / Обучение по договорам об оказании платных образовательных услуг / из них лиц, имеющих преимущест-венное право зачисления / 8	Программы специалитета / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / подано заявлений / 9	Программы специалитета / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / принято / 10	Программы специалитета / Обучение за счет бюджетных ассигнований федерального бюджета, бюджета субъекта Российской Федерации, местного бюджета / из них лиц, имеющих преимущест-венное право зачисления / 11	Программы специалитета / Обучение по договорам об оказании платных образовательных услуг / подано заявлений / 12	Программы специалитета / Обучение по договорам об оказании платных образовательных услуг / принято / 13	Программы специалитета / Обучение по договорам об оказании платных образовательных услуг / из них лиц, имеющих преимущест-венное право зачисления / 14
Алтайский край	Государственные, Муниципальные; заочная	Всего (сумма строк 02, 16) / 01	6226.0	1307.0	0.0	2426.0	615.0	0.0	139.0	36.0	0.0	495.0	261.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Второе высшее образование / 16	0.0	0.0	0.0	107.0	42.0	0.0	0.0	0.0	0.0	30.0	15.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	Первое высшее образование (сумма строк 03 - 05; сумма строк 06, 08, 13, 14) / 02	6226.0	1307.0	0.0	2319.0	573.0	0.0	139.0	36.0	0.0	465.0	246.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	в том числе поступали на основании:  исключительно результатов ЕГЭ / 03	1191.0	168.0	0.0	479.0	48.0	0.0	23.0	5.0	0.0	97.0	28.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	"ветераны боевых действий из числа лиц, указанных в подпунктах  1 - 4 пункта 1 статьи 3 Федерального закона от 12 января 1995 года № 5-ФЗ ""О ветеранах"" / 12"	32.0	14.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	дети-инвалиды, инвалиды I и II групп, инвалиды с детства,  инвалиды вследствие военной травмы или заболевания,  полученных в период прохождения военной службы / 11	27.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них (из строки 06) победители и призеры заключительного этапа  всероссийских олимпиад школьников / 07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них (из строки 08): дети-сироты и дети, оставшиеся без попечения родителей / 09	28.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из них (из строки 14) выпускники подготовительных  курсов при данной образовательной организации  высшего образования / 15	34.0	30.0	0.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	из строки 02 в том числе по условиям поступления:  прием без вступительных испытаний / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	лица из числа детей-сирот и детей, оставшихся без попечения  родителей / 10	20.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	на места в пределах квоты приема лиц, имеющих особое право / 08	105.0	37.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	на места в рамках квоты приема на целевое обучение / 13	209.0	127.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	на места по общему конкурсу / 14	5912.0	1143.0	8.0	2319.0	573.0	1.0	131.0	31.0	0.0	465.0	246.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	по результатам вступительных испытаний, проводимых  образовательной организацией высшего образования самостоятельно / 05	4891.0	1113.0	0.0	1780.0	517.0	0.0	116.0	31.0	0.0	366.0	217.0	0.0
Алтайский край	Государственные, Муниципальные; заочная	результатов ЕГЭ и дополнительных вступительных испытаний / 04	144.0	26.0	0.0	60.0	8.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0
