region	tags	indicator	Всего, человек / 3	Из них (из гр.3) имеют образование / высшее / 4	Из них (из гр.3) имеют образование / Из гр.4 имеют: / ученую степень / доктора наук / 5	Из них (из гр.3) имеют образование / Из гр.4 имеют: / ученую степень / кандидата наук / 6	Из них (из гр.3) имеют образование / Из гр.4 имеют: / ученую степень / PhD / 7	Из них (из гр.3) имеют образование / Из гр.4 имеют: / ученое звание / профессора / 8	Из них (из гр.3) имеют образование / Из гр.4 имеют: / ученое звание / доцента / 9	Из них (из гр.3) имеют образование / среднее профес-сиональное образование по программам подготовки специалистов среднего звена / 10	Из них (из гр.3) имеют образование / среднее профес-сиональное образование по программам подготовки квалифици- рованных рабочих (служащих) / 11	Из гр.3 женщины / 12	численность работников в пересчете на полную занятость, единиц / 13
Алтайский край	персонал; Государственные, Муниципальные	Из общей численности работников (стр. 01) специалисты по информационным и коммуникационным технологиям – всего (сумма строк 26 - 35) / 25	194.0	162.0	0.0	7.0	0.0	0.0	2.0	12.0	2.0	46.0	187.7
Алтайский край	персонал; Государственные, Муниципальные	Из стр.01 – исследователи / 36	554.0	554.0	80.0	360.0	1.0	47.0	277.0	0.0	0.0	379.0	530.9
Алтайский край	персонал; Государственные, Муниципальные	Из строки 02 численность руководящего персонала, имеющих учебную нагрузку / 37	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Справка 10. Из общей численности ППС (строки 08 гр.3) педагогические работники, преподающие дисциплины иностранного языка, физической культуры и военной подготовки, которые не определяют направленность (профиль) образовательной программы / 38	194.0										
Алтайский край	персонал; Государственные, Муниципальные	Справка 11. Численность лиц из ППС (строки 08 гр.3), направленных для преподавания в другую образовательную организацию высшего образования России / 39	0.0										
Алтайский край	персонал; Государственные, Муниципальные	Справка 11. Численность лиц из ППС (строки 08 гр.3), направленных для преподавания за рубеж / 40	14.0										
Алтайский край	персонал; Государственные, Муниципальные	Численность работников - всего (сумма строк 02, 07, 19-24) / 01	5554.0	4504.0	371.0	1590.0	18.0	216.0	1128.0	285.0	123.0	3589.0	5308.1
Алтайский край	персонал; Государственные, Муниципальные	административно-хозяйственный персонал / 21	479.0	404.0	3.0	6.0	0.0	1.0	3.0	37.0	5.0	405.0	468.6
Алтайский край	персонал; Государственные, Муниципальные	ассистенты / 17	109.0	109.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	72.0	106.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  профессорско-преподавательский состав - всего: / 08	2277.0	2277.0	303.0	1417.0	12.0	174.0	1027.0	0.0	0.0	1451.0	2262.8
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 26	42.0	42.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	11.0	42.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководящий персонал - всего / 02	466.0	449.0	33.0	86.0	0.0	21.0	65.0	7.0	2.0	275.0	458.8
Алтайский край	персонал; Государственные, Муниципальные	в том числе: деканы факультетов / 10	22.0	22.0	5.0	14.0	0.0	3.0	18.0	0.0	0.0	7.0	22.0
Алтайский край	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 31	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0
Алтайский край	персонал; Государственные, Муниципальные	директор филиала / 06	6.0	6.0	4.0	2.0	0.0	0.0	6.0	0.0	0.0	1.0	6.0
Алтайский край	персонал; Государственные, Муниципальные	директора институтов / 12	15.0	15.0	3.0	12.0	0.0	2.0	10.0	0.0	0.0	10.0	13.5
Алтайский край	персонал; Государственные, Муниципальные	доценты / 14	1297.0	1297.0	7.0	1229.0	9.0	0.0	768.0	0.0	0.0	879.0	1320.8
Алтайский край	персонал; Государственные, Муниципальные	заведующие кафедрами / 11	199.0	199.0	90.0	109.0	0.0	55.0	143.0	0.0	0.0	107.0	200.2
Алтайский край	персонал; Государственные, Муниципальные	из них профессорско-преподавательский состав,  осуществляющий образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, специалитета, магистратуры  (сумма строк 10-17) / 09	2261.0	2261.0	296.0	1409.0	12.0	170.0	1021.0	0.0	0.0	1441.0	2196.5
Алтайский край	персонал; Государственные, Муниципальные	из них:  ректор / 03	7.0	7.0	6.0	1.0	0.0	5.0	2.0	0.0	0.0	4.0	7.0
Алтайский край	персонал; Государственные, Муниципальные	инженерно-технический персонал / 20	424.0	339.0	15.0	13.0	5.0	8.0	8.0	18.0	1.0	173.0	350.2
Алтайский край	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 30	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
Алтайский край	персонал; Государственные, Муниципальные	инженеры-электроники / 29	24.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	22.8
Алтайский край	персонал; Государственные, Муниципальные	иные педагогические работники / 18	40.0	37.0	0.0	2.0	0.0	0.0	1.0	3.0	0.0	29.0	36.7
Алтайский край	персонал; Государственные, Муниципальные	квалифицированные рабочие: монтажники и ремонтники электронного и  телекоммуникационного оборудования / 35	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8
Алтайский край	персонал; Государственные, Муниципальные	научные работники / 19	51.0	51.0	12.0	25.0	1.0	7.0	7.0	0.0	0.0	18.0	40.0
Алтайский край	персонал; Государственные, Муниципальные	обслуживающий персонал / 24	792.0	132.0	0.0	2.0	0.0	0.0	0.0	142.0	95.0	412.0	758.8
Алтайский край	персонал; Государственные, Муниципальные	педагогические работники - всего (сумма строк 08,18): / 07	2317.0	2314.0	303.0	1419.0	12.0	174.0	1028.0	3.0	0.0	1480.0	2299.5
Алтайский край	персонал; Государственные, Муниципальные	президент / 04	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Алтайский край	персонал; Государственные, Муниципальные	преподаватели / 16	74.0	74.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	44.0	65.7
Алтайский край	персонал; Государственные, Муниципальные	производственный персонал / 22	20.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	8.0	20.0
Алтайский край	персонал; Государственные, Муниципальные	проректоры / 05	34.0	34.0	7.0	17.0	0.0	3.0	17.0	0.0	0.0	11.0	34.0
Алтайский край	персонал; Государственные, Муниципальные	профессора / 13	205.0	205.0	191.0	11.0	3.0	110.0	81.0	0.0	0.0	87.0	160.2
Алтайский край	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации: разработчики и аналитики программного обеспечения  и приложений / 27	53.0	49.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	14.0	52.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 28	17.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	16.8
Алтайский край	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации: специалисты-техники по эксплуатации ИКТ и по поддержке  пользователей ИКТ / 32	36.0	17.0	0.0	1.0	0.0	0.0	0.0	8.0	2.0	8.0	35.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и радиовещанию / 33	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
