region	tags	indicator	Всего (сумма граф 4-9) / 3	из гр. 3 - имеют общий стаж работы, лет / до 3 / 4	из гр. 3 - имеют общий стаж работы, лет / от 3 до 5 / 5	из гр. 3 - имеют общий стаж работы, лет / от 5 до 10 / 6	из гр. 3 - имеют общий стаж работы, лет / от 10 до 15 / 7	из гр. 3 - имеют общий стаж работы, лет / от 15 до 20 / 8	из гр. 3 - имеют общий стаж работы, лет / 20 и более / 9	Из гр. 3 имеют педагогический стаж работы, всего (сумма гр.11-16) / 10	из гр. 10 - имеют педагогический стаж работы, лет / до 3 / 11	из гр. 10 - имеют педагогический стаж работы, лет / от 3 до 5 / 12	из гр. 10 - имеют педагогический стаж работы, лет / от 5 до 10 / 13	из гр. 10 - имеют педагогический стаж работы, лет / от 10 до 15 / 14	из гр. 10 - имеют педагогический стаж работы, лет / от 15 до 20 / 15	из гр. 10 - имеют педагогический стаж работы, лет / 20 и более / 16	Не имеют педагоги-ческого стажа работы / 17
Алтайский край	персонал; Государственные, Муниципальные	Из общей численности работников (стр. 01) специалисты по информационным и коммуникационным технологиям – всего (сумма строк 26 - 35) / 25	194.0	26.0	16.0	39.0	17.0	30.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Численность работников - всего (сумма строк 02, 07, 19-24) / 01	5554.0	425.0	189.0	449.0	491.0	655.0	3345.0	2704.0	186.0	156.0	278.0	278.0	389.0	1417.0	2850.0
Алтайский край	персонал; Государственные, Муниципальные	административно-хозяйственный персонал / 21	479.0	37.0	21.0	42.0	63.0	68.0	248.0	35.0	5.0	7.0	4.0	4.0	8.0	7.0	444.0
Алтайский край	персонал; Государственные, Муниципальные	ассистенты / 17	109.0	27.0	22.0	29.0	18.0	1.0	12.0	108.0	44.0	36.0	19.0	2.0	2.0	5.0	1.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  профессорско-преподавательский состав - всего: / 08	2277.0	39.0	49.0	162.0	192.0	284.0	1551.0	2275.0	112.0	113.0	205.0	232.0	332.0	1281.0	2.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 26	42.0	3.0	0.0	6.0	2.0	9.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководящий персонал - всего / 02	466.0	4.0	6.0	23.0	31.0	68.0	334.0	153.0	11.0	11.0	15.0	21.0	27.0	68.0	313.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе: деканы факультетов / 10	22.0	0.0	0.0	0.0	0.0	3.0	19.0	22.0	0.0	0.0	0.0	2.0	4.0	16.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 31	3.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	директор филиала / 06	6.0	0.0	0.0	0.0	0.0	3.0	3.0	6.0	0.0	0.0	1.0	0.0	2.0	3.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	директора институтов / 12	15.0	0.0	0.0	0.0	0.0	2.0	13.0	15.0	0.0	0.0	0.0	0.0	4.0	11.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	доценты / 14	1297.0	0.0	1.0	39.0	98.0	210.0	949.0	1297.0	9.0	14.0	91.0	160.0	231.0	792.0	0.0
