region	tags	indicator	Всего, человек / 3	Из них (из гр.3) имеют образование / высшее / 4	Из них (из гр.3) имеют образование / Из гр.4 имеют: / ученую степень / доктора наук / 5	Из них (из гр.3) имеют образование / Из гр.4 имеют: / ученую степень / кандидата наук / 6	Из них (из гр.3) имеют образование / Из гр.4 имеют: / ученую степень / PhD / 7	Из них (из гр.3) имеют образование / Из гр.4 имеют: / ученое звание / профессора / 8	Из них (из гр.3) имеют образование / Из гр.4 имеют: / ученое звание / доцента / 9	Из них (из гр.3) имеют образование / среднее профес-сиональное образование по программам подготовки специалистов среднего звена / 10	Из них (из гр.3) имеют образование / среднее профес-сиональное образование по программам подготовки квалифици- рованных рабочих (служащих) / 11	Из гр.3 женщины / 12	численность работников в пересчете на полную занятость, единиц / 13
Алтайский край	персонал; Государственные, Муниципальные	Из общей численности ППС (строки 04 гр.3) педагогические работники, преподающие дисциплины иностранного языка, физической культуры и военной подготовки, которые не определяют направленность (профиль) образовательной программы / 33	31.0										
Алтайский край	персонал; Государственные, Муниципальные	Из общей численности работников (стр. 01) специалисты по информационным и коммуникационным технологиям – всего (сумма строк 22 - 31) / 21	8.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.6
Алтайский край	персонал; Государственные, Муниципальные	Из строки 05 численность работников предприятий и организаций, привлеченных к образовательной деятельности по реализации образовательных программ высшего образования- программ бакалавриата, программ специалитета, программ магистратуры- всего / 32	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Численность работников - всего (сумма строк 02, 03, 15-20) / 01	742.0	720.0	79.0	310.0	1.0	27.0	114.0	10.0	2.0	331.0	267.0
Алтайский край	персонал; Государственные, Муниципальные	административно-хозяйственный персонал / 17	14.0	13.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	8.0	6.8
Алтайский край	персонал; Государственные, Муниципальные	ассистенты / 13	35.0	35.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	12.0	10.9
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  деканы факультетов / 06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководящий персонал - всего / 02	4.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе: профессорско-преподавательский состав - всего / 04	499.0	499.0	60.0	274.0	0.0	21.0	98.0	0.0	0.0	236.0	185.6
Алтайский край	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	директора институтов / 08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	доценты / 10	248.0	248.0	1.0	199.0	0.0	0.0	70.0	0.0	0.0	128.0	97.6
Алтайский край	персонал; Государственные, Муниципальные	заведующие кафедрами / 07	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.5
