region	tags	indicator	Всего / 3	Из графы 3 прошли за последние три года: / повышение квалифика-ции и (или) профессио-нальную перепод-готовку / 4	Из графы 3 прошли за последние три года: / из них: / по профилю педагогиче-ской деятельнос-ти / 5	Из графы 3 прошли за последние три года: / из них: / по использова-нию информа-ционных и коммуника-ционных технологий / 6	Из графы 3 прошли за последние три года: / из них: / в форме стажировки / 7	Из графы 3 прошли за последние три года: / в том числе (из гр. 7) в ведущих российских и зарубежных университе- тах и научных центрах / 8	Из графы 3 прошли за последние три года: / из них (из гр. 8) в зарубежных университе-тах и научных центрах / 9	Из граф 4-8 прошли в предыдущем учебном году: / повышение квалифика- ции и (или) профессио-нальную перепод-готовку (из гр. 4) / 10	Из граф 4-8 прошли в предыдущем учебном году: / из них: / по профилю педагогиче- ской деятельнос-ти (из гр. 5) / 11	Из граф 4-8 прошли в предыдущем учебном году: / из них: / по использова-нию информа-ционных и коммуника-ционных технологий (из гр. 6) / 12	Из граф 4-8 прошли в предыдущем учебном году: / из них: / в форме стажировки (из гр. 7) / 13	Из граф 4-8 прошли в предыдущем учебном году: / в том числе (из гр. 8) в ведущих российских и зарубежных университе- тах и научных центрах / 14	Из граф 4-8 прошли в предыдущем учебном году: / из них (из гр. 9) в зарубежных университе-тах и научных центрах / 15
Алтайский край	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 19	424.0	106.0	14.0	80.0	4.0	4.0	0.0	36.0	9.0	22.0	3.0	3.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Научные работники / 18	51.0	31.0	23.0	14.0	10.0	9.0	1.0	24.0	20.0	6.0	6.0	6.0	1.0
Алтайский край	персонал; Государственные, Муниципальные	Педагогические работники - всего (сумма строк 07,17): / 06	2317.0	2106.0	1566.0	1388.0	186.0	86.0	26.0	1532.0	1114.0	516.0	47.0	23.0	12.0
Алтайский край	персонал; Государственные, Муниципальные	Руководящий персонал - всего / 01	466.0	206.0	105.0	77.0	25.0	7.0	1.0	115.0	65.0	35.0	7.0	3.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 22 - 31) / 21	194.0	78.0	24.0	50.0	4.0	1.0	0.0	35.0	11.0	23.0	1.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 20	1005.0	355.0	129.0	178.0	37.0	6.0	0.0	177.0	75.0	77.0	17.0	1.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	ассистенты / 16	109.0	82.0	78.0	66.0	6.0	1.0	0.0	58.0	56.0	6.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в  сфере информационно-коммуникационных  технологий / 22	42.0	29.0	15.0	19.0	2.0	1.0	0.0	12.0	6.0	10.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе: деканы факультетов / 09	22.0	22.0	18.0	21.0	1.0	0.0	0.0	22.0	13.0	10.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе: профессорско-преподавательский  состав - всего: / 07	2277.0	2071.0	1546.0	1364.0	186.0	86.0	26.0	1519.0	1102.0	510.0	47.0	23.0	12.0
