region	tags	indicator	Численность иностранных работников без внешних совместителей и работающих по договорам гражданско-правового характера, человек / 3	из них граждане: / государств-участников СНГ / 4	из них граждане: / стран Европейского Союза и США / 5	Численность иностранных работников, работающих на условиях внешнего совместитель- ства, человек / 6	из них граждане: / государств-участников СНГ / 7	из них граждане: / стран Европейского Союза и США / 8	Численность иностранных работников, в пересчете на полную занятость, единиц / без внешних совместителей и работающих по договорам гражданско-правового характера / 9	Численность иностранных работников, в пересчете на полную занятость, единиц / внешние совместители / 10
Алтайский край	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	31.0	30.0	0.0	0.0	0.0	0.0	8.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Научные работники / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	49.0	44.0	3.0	6.0	1.0	0.0	9.6	0.3
Алтайский край	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	2.0	2.0	0.0	0.0	0.0	0.0	0.6	0.0
Алтайский край	персонал; Государственные, Муниципальные	Численность иностранных специалистов, осуществляющих образовательную деятельность по реализации образовательных программ высшего образования (программ бакалавриата, специалитета, магистратуры) по договорам гражданско-правового характера - всего / 06	1.0							
Алтайский край	персонал; Государственные, Муниципальные	из них граждане: государств-участников СНГ / 07	1.0							
Алтайский край	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	47.0	42.0	3.0	6.0	1.0	0.0	8.3	0.3
Алтайский край	персонал; Государственные, Муниципальные	стран Европейского союза и США / 08	0.0							
Алтайский край	персонал; Частные	Инженерно-технический персонал / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Научные работники / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Профессорско-преподавательский состав / 01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Учебно-вспомогательный персонал / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Численность иностранных специалистов, осуществляющих образовательную деятельность по реализации образовательных программ высшего образования (программ бакалавриата, специалитета, магистратуры) по договорам гражданско-правового характера - всего / 06	0.0							
Алтайский край	персонал; Частные	из них граждане: государств-участников СНГ / 07	0.0							
Алтайский край	персонал; Частные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	стран Европейского союза и США / 08	0.0							
Амурская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Научные работники / 03	5.0	0.0	0.0	0.0	0.0	0.0	2.6	0.0
Амурская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	1.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0
Амурская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Численность иностранных специалистов, осуществляющих образовательную деятельность по реализации образовательных программ высшего образования (программ бакалавриата, специалитета, магистратуры) по договорам гражданско-правового характера - всего / 06	1.0							
Амурская область	персонал; Государственные, Муниципальные	из них граждане: государств-участников СНГ / 07	0.0							
Амурская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	1.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0
Амурская область	персонал; Государственные, Муниципальные	стран Европейского союза и США / 08	0.0							
Архангельская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Научные работники / 03	3.0	3.0	0.0	0.0	0.0	0.0	1.8	0.0
Архангельская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	2.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
Архангельская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	5.0	5.0	0.0	1.0	0.0	0.0	4.5	0.5
Архангельская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	2.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
Астраханская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Научные работники / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	7.0	2.0	2.0	0.0	0.0	0.0	5.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	5.0	3.0	1.0	0.0	0.0	0.0	3.5	0.0
Астраханская область	персонал; Государственные, Муниципальные	Численность иностранных специалистов, осуществляющих образовательную деятельность по реализации образовательных программ высшего образования (программ бакалавриата, специалитета, магистратуры) по договорам гражданско-правового характера - всего / 06	4.0							
Астраханская область	персонал; Государственные, Муниципальные	из них граждане: государств-участников СНГ / 07	2.0							
Астраханская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	7.0	2.0	2.0	0.0	0.0	0.0	5.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	стран Европейского союза и США / 08	0.0							
Белгородская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	1.0	1.0	0.0	0.0	0.0	0.0	0.1	0.0
Белгородская область	персонал; Государственные, Муниципальные	Научные работники / 03	5.0	5.0	0.0	1.0	1.0	0.0	2.7	0.1
Белгородская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	22.0	16.0	3.0	3.0	2.0	0.0	18.6	1.2
Белгородская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	5.0	5.0	0.0	0.0	0.0	0.0	4.3	0.0
Белгородская область	персонал; Государственные, Муниципальные	Численность иностранных специалистов, осуществляющих образовательную деятельность по реализации образовательных программ высшего образования (программ бакалавриата, специалитета, магистратуры) по договорам гражданско-правового характера - всего / 06	12.0							
Белгородская область	персонал; Государственные, Муниципальные	из них граждане: государств-участников СНГ / 07	4.0							
Белгородская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	22.0	16.0	3.0	3.0	2.0	0.0	18.6	1.2
Белгородская область	персонал; Государственные, Муниципальные	стран Европейского союза и США / 08	5.0							
Брянская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	Научные работники / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	1.0	1.0	0.0	0.0	0.0	0.0	0.5	0.0
Брянская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	персонал; Государственные, Муниципальные	Численность иностранных специалистов, осуществляющих образовательную деятельность по реализации образовательных программ высшего образования (программ бакалавриата, специалитета, магистратуры) по договорам гражданско-правового характера - всего / 06	0.0							
Брянская область	персонал; Государственные, Муниципальные	из них граждане: государств-участников СНГ / 07	0.0							
Брянская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	1.0	1.0	0.0	0.0	0.0	0.0	0.5	0.0
Брянская область	персонал; Государственные, Муниципальные	стран Европейского союза и США / 08	0.0							
Владимирская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	5.0	4.0	0.0	0.0	0.0	0.0	2.7	0.0
Владимирская область	персонал; Государственные, Муниципальные	Научные работники / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	3.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0
Владимирская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	Численность иностранных специалистов, осуществляющих образовательную деятельность по реализации образовательных программ высшего образования (программ бакалавриата, специалитета, магистратуры) по договорам гражданско-правового характера - всего / 06	0.0							
Владимирская область	персонал; Государственные, Муниципальные	из них граждане: государств-участников СНГ / 07	0.0							
Владимирская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	3.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0
Владимирская область	персонал; Государственные, Муниципальные	стран Европейского союза и США / 08	0.0							
Волгоградская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Волгоградская область	персонал; Государственные, Муниципальные	Научные работники / 03	1.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
Волгоградская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	3.0	0.0	1.0	1.0	0.0	0.0	1.4	0.5
Волгоградская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	4.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0
Волгоградская область	персонал; Государственные, Муниципальные	Численность иностранных специалистов, осуществляющих образовательную деятельность по реализации образовательных программ высшего образования (программ бакалавриата, специалитета, магистратуры) по договорам гражданско-правового характера - всего / 06	0.0							
Волгоградская область	персонал; Государственные, Муниципальные	из них граждане: государств-участников СНГ / 07	0.0							
Волгоградская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	2.0	0.0	1.0	0.0	0.0	0.0	1.1	0.0
Волгоградская область	персонал; Государственные, Муниципальные	стран Европейского союза и США / 08	0.0							
Вологодская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Вологодская область	персонал; Государственные, Муниципальные	Научные работники / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Вологодская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	2.0	2.0	0.0	2.0	0.0	2.0	1.4	0.2
Вологодская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Вологодская область	персонал; Государственные, Муниципальные	Численность иностранных специалистов, осуществляющих образовательную деятельность по реализации образовательных программ высшего образования (программ бакалавриата, специалитета, магистратуры) по договорам гражданско-правового характера - всего / 06	0.0							
Вологодская область	персонал; Государственные, Муниципальные	из них граждане: государств-участников СНГ / 07	0.0							
Вологодская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	2.0	2.0	0.0	2.0	0.0	2.0	1.4	0.2
Вологодская область	персонал; Государственные, Муниципальные	стран Европейского союза и США / 08	0.0							
Воронежская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Воронежская область	персонал; Государственные, Муниципальные	Научные работники / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Воронежская область	персонал; Государственные, Муниципальные	Профессорско-преподавательский состав / 01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Воронежская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 05	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Воронежская область	персонал; Государственные, Муниципальные	Численность иностранных специалистов, осуществляющих образовательную деятельность по реализации образовательных программ высшего образования (программ бакалавриата, специалитета, магистратуры) по договорам гражданско-правового характера - всего / 06	3.0							
Воронежская область	персонал; Государственные, Муниципальные	из них граждане: государств-участников СНГ / 07	0.0							
Воронежская область	персонал; Государственные, Муниципальные	из них осуществляющие образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, программам специалитета, программам магистратуры / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Воронежская область	персонал; Государственные, Муниципальные	стран Европейского союза и США / 08	2.0							
Воронежская область	персонал; Частные	Инженерно-технический персонал / 04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
