region	tags	indicator	Число ставок по штату, единиц / 3	Фактически занято, единиц / всего / 4	Фактически занято, единиц / работниками списочного состава / 5	Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек / 6	Принято работников, человек / всего / 7	Принято работников, человек / из них выпускники: / со средним профессиональ-ным образованием по программам подготовки специалистов среднего звена / 8	Принято работников, человек / из них выпускники: / с высшим образованием / 9	Выбыло работников, человек / всего / 10	Выбыло работников, человек / из них по собственному желанию / 11	Численность работников на начало отчетного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек / 12
Алтайский край	персонал; Государственные, Муниципальные	Из общей численности работников (стр. 01) специалисты по информационным и коммуникационным технологиям – всего (сумма строк 26 - 35) / 25	208.45	193.8	186.55	178.0	29.0	2.0	6.0	22.0	17.0	194.0
Алтайский край	персонал; Государственные, Муниципальные	Численность работников - всего (сумма строк 02, 07, 19-24) / 01	7062.89	5828.53	5549.49	5646.0	1260.0	9.0	225.0	1352.0	676.0	5554.0
Алтайский край	персонал; Государственные, Муниципальные	административно-хозяйственный персонал / 21	589.4	481.17	473.92	615.0	124.0	3.0	35.0	121.0	104.0	479.0
Алтайский край	персонал; Государственные, Муниципальные	ассистенты / 17	142.62	126.06	115.03	87.0	34.0	0.0	8.0	13.0	4.0	109.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  профессорско-преподавательский состав - всего: / 08	2996.14	2535.73	2361.84	2312.0	358.0	0.0	62.0	408.0	148.0	2277.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 26	42.5	42.0	42.0	37.0	2.0	0.0	1.0	1.0	1.0	42.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководящий персонал - всего / 02	536.15	473.35	471.35	291.0	39.0	0.0	15.0	40.0	29.0	466.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе: деканы факультетов / 10	24.0	22.0	22.0	25.0	0.0	0.0	0.0	2.0	1.0	22.0
Алтайский край	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 31	3.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0
Алтайский край	персонал; Государственные, Муниципальные	директор филиала / 06	6.0	5.0	5.0	6.0	0.0	0.0	0.0	1.0	1.0	6.0
Алтайский край	персонал; Государственные, Муниципальные	директора институтов / 12	14.5	13.5	13.5	14.0	1.0	0.0	1.0	1.0	0.0	15.0
Алтайский край	персонал; Государственные, Муниципальные	доценты / 14	1609.23	1404.8	1315.07	1346.0	180.0	0.0	30.0	215.0	77.0	1297.0
Алтайский край	персонал; Государственные, Муниципальные	заведующие кафедрами / 11	227.55	206.71	205.21	202.0	27.0	0.0	2.0	38.0	10.0	199.0
Алтайский край	персонал; Государственные, Муниципальные	из них профессорско-преподавательский состав,  осуществляющий образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, специалитета, магистратуры  (сумма строк 10-17) / 09	2841.14	2385.48	2242.09	2301.0	358.0	0.0	62.0	404.0	148.0	2261.0
Алтайский край	персонал; Государственные, Муниципальные	из них:  ректор / 03	7.0	7.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0
Алтайский край	персонал; Государственные, Муниципальные	инженерно-технический персонал / 20	476.1	395.53	377.18	433.0	126.0	3.0	12.0	134.0	73.0	424.0
Алтайский край	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 30	9.0	8.0	8.0	6.0	1.0	0.0	0.0	0.0	0.0	8.0
Алтайский край	персонал; Государственные, Муниципальные	инженеры-электроники / 29	23.75	22.75	22.75	29.0	0.0	0.0	0.0	6.0	5.0	24.0
Алтайский край	персонал; Государственные, Муниципальные	иные педагогические работники / 18	74.9	57.2	36.25	31.0	9.0	0.0	1.0	2.0	1.0	40.0
Алтайский край	персонал; Государственные, Муниципальные	квалифицированные рабочие: монтажники и ремонтники электронного и  телекоммуникационного оборудования / 35	2.0	1.8	1.8	2.0	0.0	0.0	0.0	0.0	0.0	2.0
Алтайский край	персонал; Государственные, Муниципальные	научные работники / 19	159.4	99.32	75.77	64.0	3.0	0.0	1.0	11.0	8.0	51.0
Алтайский край	персонал; Государственные, Муниципальные	обслуживающий персонал / 24	1009.9	797.3	783.3	910.0	328.0	0.0	3.0	428.0	166.0	792.0
Алтайский край	персонал; Государственные, Муниципальные	педагогические работники - всего (сумма строк 08,18): / 07	3071.04	2592.93	2398.09	2343.0	367.0	0.0	63.0	410.0	149.0	2317.0
Алтайский край	персонал; Государственные, Муниципальные	президент / 04	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Алтайский край	персонал; Государственные, Муниципальные	преподаватели / 16	184.64	71.35	67.3	63.0	35.0	0.0	11.0	25.0	15.0	74.0
Алтайский край	персонал; Государственные, Муниципальные	производственный персонал / 22	22.0	20.77	20.77	39.0	17.0	0.0	0.0	30.0	4.0	20.0
Алтайский край	персонал; Государственные, Муниципальные	проректоры / 05	34.0	34.0	34.0	29.0	7.0	0.0	2.0	3.0	2.0	34.0
Алтайский край	персонал; Государственные, Муниципальные	профессора / 13	244.73	193.88	178.25	209.0	32.0	0.0	1.0	41.0	12.0	205.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации: разработчики и аналитики программного обеспечения  и приложений / 27	66.45	57.0	52.0	53.0	10.0	1.0	4.0	8.0	7.0	53.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 28	17.0	16.0	15.75	11.0	2.0	0.0	0.0	0.0	0.0	17.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации: специалисты-техники по эксплуатации ИКТ и по  поддержке пользователей ИКТ / 32	36.5	36.0	35.0	35.0	7.0	1.0	1.0	6.0	3.0	36.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и  радиовещанию / 33	3.0	2.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0
Алтайский край	персонал; Государственные, Муниципальные	старшие преподаватели / 15	393.87	347.18	325.73	355.0	49.0	0.0	9.0	69.0	29.0	340.0
Алтайский край	персонал; Государственные, Муниципальные	техники-электроники / 34	5.25	5.25	4.25	0.0	6.0	0.0	0.0	1.0	1.0	7.0
Алтайский край	персонал; Государственные, Муниципальные	учебно-вспомогательный персонал / 23	1198.9	968.16	949.11	951.0	256.0	3.0	96.0	178.0	143.0	1005.0
Алтайский край	персонал; Частные	Из общей численности работников (стр. 01) специалисты по информационным и коммуникационным технологиям – всего (сумма строк 26 - 35) / 25	3.0	3.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0
Алтайский край	персонал; Частные	Численность работников - всего (сумма строк 02, 07, 19-24) / 01	126.75	88.75	80.56	91.0	23.0	4.0	18.0	31.0	15.0	83.0
Алтайский край	персонал; Частные	административно-хозяйственный персонал / 21	9.5	8.5	8.0	8.0	0.0	0.0	0.0	1.0	1.0	7.0
