region	tags	indicator	Всего (сумма гр.4, 6, 8, 10, 12, 14, 16, 18, 20, 22) / 3	Число полных лет по состоянию на 1 января следующего года / моложе 25 лет / всего / 4	Число полных лет по состоянию на 1 января следующего года / моложе 25 лет / из них жен-щины / 5	Число полных лет по состоянию на 1 января следующего года / 25 - 29 / всего / 6	Число полных лет по состоянию на 1 января следующего года / 25 - 29 / из них жен-щины / 7	Число полных лет по состоянию на 1 января следующего года / 30 - 34 / всего / 8	Число полных лет по состоянию на 1 января следующего года / 30 - 34 / из них жен-щины / 9	Число полных лет по состоянию на 1 января следующего года / 35 - 39 / всего / 10	Число полных лет по состоянию на 1 января следующего года / 35 - 39 / из них жен-щины / 11	Число полных лет по состоянию на 1 января следующего года / 40 - 44 / всего / 12	Число полных лет по состоянию на 1 января следующего года / 40 - 44 / из них жен-щины / 13	Число полных лет по состоянию на 1 января следующего года / 45 - 49 / всего / 14	Число полных лет по состоянию на 1 января следующего года / 45 - 49 / из них жен-щины / 15	Число полных лет по состоянию на 1 января следующего года / 50 - 54 / всего / 16	Число полных лет по состоянию на 1 января следующего года / 50 - 54 / из них жен-щины / 17	Число полных лет по состоянию на 1 января следующего года / 55 - 59 / всего / 18	Число полных лет по состоянию на 1 января следующего года / 55 - 59 / из них жен-щины / 19	Число полных лет по состоянию на 1 января следующего года / 60 - 64 / всего / 20	Число полных лет по состоянию на 1 января следующего года / 60 - 64 / из них жен-щины / 21	Число полных лет по состоянию на 1 января следующего года / 65 и более / всего / 22	Число полных лет по состоянию на 1 января следующего года / 65 и более / из них жен-щины / 23
Алтайский край	персонал; Государственные, Муниципальные	Из общей численности работников (стр. 01) специалисты по информационным и коммуникационным технологиям – всего (сумма строк 26 - 35) / 25	194.0	37.0	6.0	35.0	6.0	26.0	8.0	28.0	9.0	24.0	3.0	18.0	6.0	13.0	3.0	6.0	3.0	3.0	0.0	4.0	2.0
Алтайский край	персонал; Государственные, Муниципальные	Из стр.01 – исследователи / 36	554.0	2.0	2.0	25.0	14.0	40.0	21.0	49.0	33.0	83.0	59.0	118.0	89.0	63.0	54.0	48.0	39.0	54.0	33.0	72.0	35.0
Алтайский край	персонал; Государственные, Муниципальные	Численность работников - всего (сумма строк 02, 07, 19-24) / 01	5554.0	348.0	202.0	349.0	214.0	411.0	248.0	549.0	362.0	666.0	461.0	839.0	604.0	662.0	485.0	540.0	383.0	573.0	328.0	617.0	302.0
Алтайский край	персонал; Государственные, Муниципальные	административно-хозяйственный персонал / 21	479.0	29.0	27.0	29.0	26.0	45.0	36.0	74.0	64.0	75.0	69.0	77.0	63.0	66.0	57.0	43.0	32.0	24.0	19.0	17.0	12.0
Алтайский край	персонал; Государственные, Муниципальные	ассистенты / 17	109.0	7.0	5.0	49.0	27.0	31.0	22.0	7.0	7.0	4.0	3.0	4.0	4.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  профессорско-преподавательский состав - всего: / 08	2277.0	15.0	9.0	110.0	69.0	172.0	97.0	220.0	136.0	317.0	220.0	412.0	300.0	274.0	210.0	195.0	140.0	230.0	132.0	332.0	138.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 26	42.0	0.0	0.0	4.0	1.0	3.0	2.0	8.0	2.0	8.0	1.0	10.0	4.0	6.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе:  руководящий персонал - всего / 02	466.0	3.0	1.0	18.0	11.0	22.0	15.0	52.0	26.0	82.0	53.0	92.0	56.0	65.0	43.0	51.0	34.0	51.0	24.0	30.0	12.0
Алтайский край	персонал; Государственные, Муниципальные	в том числе: деканы факультетов / 10	22.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	8.0	1.0	1.0	1.0	3.0	1.0	5.0	4.0	2.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 31	3.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	директор филиала / 06	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	директора институтов / 12	15.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	4.0	2.0	1.0	3.0	3.0	1.0	1.0	2.0	1.0	1.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	доценты / 14	1297.0	0.0	0.0	3.0	2.0	46.0	21.0	134.0	78.0	231.0	167.0	289.0	220.0	180.0	140.0	119.0	91.0	137.0	86.0	158.0	74.0
Алтайский край	персонал; Государственные, Муниципальные	заведующие кафедрами / 11	199.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	3.0	29.0	15.0	43.0	31.0	34.0	23.0	21.0	15.0	29.0	11.0	35.0	9.0
Алтайский край	персонал; Государственные, Муниципальные	из них профессорско-преподавательский состав,  осуществляющий образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, специалитета, магистратуры  (сумма строк 10-17) / 09	2261.0	15.0	9.0	110.0	69.0	171.0	96.0	220.0	136.0	317.0	220.0	409.0	298.0	274.0	210.0	193.0	139.0	226.0	130.0	326.0	134.0
Алтайский край	персонал; Государственные, Муниципальные	из них:  ректор / 03	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	2.0	3.0	2.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	инженерно-технический персонал / 20	424.0	94.0	46.0	69.0	19.0	35.0	7.0	41.0	14.0	30.0	9.0	29.0	18.0	33.0	12.0	34.0	25.0	34.0	12.0	25.0	11.0
Алтайский край	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 30	8.0	1.0	0.0	2.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	инженеры-электроники / 29	24.0	3.0	1.0	9.0	1.0	3.0	0.0	3.0	1.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	иные педагогические работники / 18	40.0	1.0	0.0	9.0	8.0	2.0	0.0	3.0	3.0	4.0	3.0	7.0	6.0	4.0	2.0	7.0	4.0	1.0	1.0	2.0	2.0
Алтайский край	персонал; Государственные, Муниципальные	квалифицированные рабочие: монтажники и ремонтники электронного и  телекоммуникационного оборудования / 35	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	научные работники / 19	51.0	2.0	2.0	6.0	2.0	11.0	3.0	11.0	6.0	6.0	1.0	5.0	1.0	2.0	2.0	0.0	0.0	3.0	1.0	5.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	обслуживающий персонал / 24	792.0	48.0	15.0	18.0	5.0	39.0	21.0	41.0	19.0	72.0	36.0	89.0	45.0	106.0	60.0	120.0	67.0	152.0	76.0	107.0	68.0
Алтайский край	персонал; Государственные, Муниципальные	педагогические работники - всего (сумма строк 08,18): / 07	2317.0	16.0	9.0	119.0	77.0	174.0	97.0	223.0	139.0	321.0	223.0	419.0	306.0	278.0	212.0	202.0	144.0	231.0	133.0	334.0	140.0
Алтайский край	персонал; Государственные, Муниципальные	президент / 04	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	преподаватели / 16	74.0	8.0	4.0	34.0	26.0	12.0	6.0	6.0	5.0	4.0	2.0	2.0	1.0	4.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	производственный персонал / 22	20.0	1.0	1.0	0.0	0.0	1.0	0.0	3.0	2.0	2.0	1.0	7.0	3.0	3.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	проректоры / 05	34.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	6.0	2.0	10.0	1.0	5.0	2.0	6.0	4.0	3.0	1.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	профессора / 13	205.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	7.0	2.0	20.0	9.0	14.0	11.0	19.0	11.0	33.0	14.0	109.0	38.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации: разработчики и аналитики программного обеспечения  и приложений / 27	53.0	12.0	2.0	10.0	2.0	7.0	3.0	7.0	3.0	7.0	1.0	3.0	0.0	2.0	0.0	3.0	2.0	0.0	0.0	2.0	1.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 28	17.0	0.0	0.0	4.0	0.0	4.0	1.0	3.0	2.0	2.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации: специалисты-техники по эксплуатации ИКТ и по поддержке  пользователей ИКТ / 32	36.0	13.0	2.0	5.0	1.0	5.0	1.0	5.0	1.0	4.0	1.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и радиовещанию / 33	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	старшие преподаватели / 15	340.0	0.0	0.0	24.0	14.0	80.0	46.0	60.0	42.0	37.0	27.0	41.0	31.0	35.0	31.0	27.0	19.0	17.0	13.0	19.0	12.0
Алтайский край	персонал; Государственные, Муниципальные	техники-электроники / 34	7.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	учебно-вспомогательный персонал / 23	1005.0	155.0	101.0	90.0	74.0	84.0	69.0	104.0	92.0	78.0	69.0	121.0	112.0	109.0	98.0	89.0	81.0	76.0	63.0	99.0	59.0
Алтайский край	персонал; Частные	Из общей численности работников (стр. 01) специалисты по информационным и коммуникационным технологиям – всего (сумма строк 26 - 35) / 25	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Из стр.01 – исследователи / 36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Численность работников - всего (сумма строк 02, 07, 19-24) / 01	83.0	3.0	2.0	9.0	5.0	6.0	5.0	5.0	3.0	14.0	7.0	23.0	14.0	7.0	6.0	10.0	6.0	2.0	1.0	4.0	1.0
Алтайский край	персонал; Частные	административно-хозяйственный персонал / 21	7.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	3.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	ассистенты / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	в том числе:  профессорско-преподавательский состав - всего: / 08	37.0	1.0	0.0	3.0	0.0	3.0	2.0	3.0	1.0	6.0	3.0	11.0	6.0	3.0	3.0	4.0	2.0	1.0	1.0	2.0	0.0
